track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Day in the Life - Spotify Interview Part 1,https://open.spotify.com/track/1Mu9TQ1ADXNq2oDHesiHbD,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,99366,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
A Day in the Life - Spotify Interview Part 2,https://open.spotify.com/track/0bjP4bRrE9iKJbam2Oreha,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,113343,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Alone With You,https://open.spotify.com/track/2Xdatbm43IXEVi0wmKeJve,Barefoot Blue Jean Night,https://open.spotify.com/album/4GeJssW5iLOSLOIXhLfOUJ,Jake Owen,https://open.spotify.com/artist/1n2pb9Tsfe4SwAjmUac6YT,2014-11-03,210973,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Alone With You,https://open.spotify.com/track/0bsmuUBwDdNAPCcuV05gLF,Original Songwriter Demos,https://open.spotify.com/album/4pntx2ihrs8TnmGP1QmDSA,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,204293,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Alone With You - Spotify Interview Part 1,https://open.spotify.com/track/0W3nu2t2pXPkCTnDe5pT4L,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,86968,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Alone With You - Spotify Interview Part 2,https://open.spotify.com/track/5w6vwaSYcmqwBSdvu9JcEX,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,134163,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Chainsaw,https://open.spotify.com/track/3botssMinOaf8gTihU6Kjo,Old Dominion Originals,https://open.spotify.com/album/5khSHsmQhkTJ1iJr5FdAP8,Old Dominion,https://open.spotify.com/artist/6y8XlgIV8BLlIg1tT1R10i,2014-11-03,226480,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Chainsaw,https://open.spotify.com/track/6BstspHAG1DuMebrQJWPJY,Pioneer,https://open.spotify.com/album/4oXEoK7WVM1lNbmB59IrJ1,The Band Perry,https://open.spotify.com/artist/75FnCoo4FBxH5K1Rrx0k5A,2014-11-03,227840,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Chainsaw - Spotify Interview Part 1,https://open.spotify.com/track/7EyY3Ifj9B2StmuFzYhtC6,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,61624,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Chainsaw - Spotify Interview Part 2,https://open.spotify.com/track/6Ly6CqQLJBqVpPHPJN1vFt,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,92624,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Come Back To Me,https://open.spotify.com/track/1W3nZ90b1u3jHB5leANsy8,Fuse (Deluxe Edition),https://open.spotify.com/album/6LJH0InZpmgymwZ3hpsUYD,Keith Urban,https://open.spotify.com/artist/0u2FHSq3ln94y5Q57xazwf,2014-11-03,232680,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Come Back to Me,https://open.spotify.com/track/4IkQTSK5Fou1pk9cwiJZAx,Original Songwriter Demos,https://open.spotify.com/album/4pntx2ihrs8TnmGP1QmDSA,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,210326,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Come Back to Me - Spotify Interview Part 1,https://open.spotify.com/track/1OW6YGLx26dFcmpq2KxJLK,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,95791,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
Come Back to Me - Spotify Interview Part 2,https://open.spotify.com/track/2ecpktcbrJByrVJ6i2umOg,Original Songwriter Demos: Spotify Interview,https://open.spotify.com/album/052Ususf37VCmcxtw59WG4,Shane McAnally,https://open.spotify.com/artist/0DxKYZItTwmdZYicUhm05C,2014-11-03,89000,2021-12-21,"Listen to the original demo tracks and stories behind Country&#x27;s biggest hits with acclaimed songwriter Shane McAnally, featuring the EXCLUSIVE release of Kacey Musgraves&#x27; Mama&#x27;s Broken Heart – only on Spotify!",SongCraft
