track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2021,https://open.spotify.com/track/5KTX2DzpMC3CaOPUUqcnZS,2021,https://open.spotify.com/album/3d2KbmqejpYTVz5YhXyyPV,"Tamara Kumbula, Kalcatraz","https://open.spotify.com/artist/0UX16aLcy0oMwn4Tnnydf0, https://open.spotify.com/artist/0KOoXNEBWvDwqcyzn400aQ",2022-03-08,153025,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
BIG,https://open.spotify.com/track/0wRpsc7jtLA8V0COFkwtYG,BIG,https://open.spotify.com/album/4mYgWeJ39gMlXqTPOUzASz,Kendra Jae,https://open.spotify.com/artist/1KcnqRVBBJ2FUZMQUn3k5P,2022-03-08,160197,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Big Fish Theory,https://open.spotify.com/track/2ncMj2NVad6z51PD6xhp0M,Big Fish Theory,https://open.spotify.com/album/0o1K4Ax8YryKGeNc48nrAG,Chrxstal Sarah,https://open.spotify.com/artist/2JZL2IaH2OajY3wO8ztidA,2022-03-08,155172,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Big Fish Theory,https://open.spotify.com/track/4RKeJ1txwwNM6NKvndsbez,Big Fish Theory,https://open.spotify.com/album/3PYGYjPc2bIcvpZrkOY4v8,Chrxstal Sarah,https://open.spotify.com/artist/2JZL2IaH2OajY3wO8ztidA,2022-03-08,155172,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Call Me Queen,https://open.spotify.com/track/36t0yXv8WYdtuksM3IPBom,Call Me Queen (Frank Pole Remix),https://open.spotify.com/album/0xhky4wKaoKH4mrTbIVmux,Citizen Queen,https://open.spotify.com/artist/2z7BqfKvVlkr8KVAOTBKcz,2022-03-08,167291,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
CAN'T TOUCH THIS,https://open.spotify.com/track/1LJYn86ysceH708AIkw0VZ,FOR CERTAIN (Deluxe),https://open.spotify.com/album/76j8Cihag4ps0oykYSo0Bc,BIA,https://open.spotify.com/artist/6veh5zbFpm31XsPdjBgPER,2022-03-08,146597,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Dark Skinned,https://open.spotify.com/track/358NH6zt0bZCCqrL0bMQZ6,Dark Skinned,https://open.spotify.com/album/1SR9fPVtVwQ37dryvXAowV,RAY BLK,https://open.spotify.com/artist/0CkbPVBpOwwz9NPPglFKyq,2022-03-08,180100,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Fast Times,https://open.spotify.com/track/0oN3KzKOxYtyIuNiobf8Q4,Fast Times,https://open.spotify.com/album/2rR0wpBcmvYpxQd77BWShd,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2022-03-08,174539,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Fingers Crossed,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,https://open.spotify.com/album/7i5dqey54xo8F2flVer0yY,Lauren Spencer Smith,https://open.spotify.com/artist/79AyR6ATpj2LTPxfb6FX50,2022-03-08,175344,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Girlfriend,https://open.spotify.com/track/5hr55QtxToXumR95t6j8lh,Ms. Out Tonight,https://open.spotify.com/album/5dlGTLkjRhY4xpkrAZTKUq,Siena Liggins,https://open.spotify.com/artist/5DLTBcpdWQsAPeN1t8PZv9,2022-03-08,170144,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Have Mercy,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg,Have Mercy,https://open.spotify.com/album/4N8qhDeqx8AHoEhMnYEC2Y,Chlöe,https://open.spotify.com/artist/1FtBEIWAwvw5ymBen5GICR,2022-03-08,148778,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
hoe (feat. Miguel),https://open.spotify.com/track/4v2AdwK5xJneq1RosH0JJS,Sailing Soul(s),https://open.spotify.com/album/6zp8MKrhIwSdZojADmIDim,"Jhené Aiko, Miguel","https://open.spotify.com/artist/5ZS223C6JyBfXasXxrRqOk, https://open.spotify.com/artist/360IAlyVv4PCEVjgyMZrxK",2022-03-08,217720,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
Hungry Hippo,https://open.spotify.com/track/0WpDeBJ22LcwF4QoERQOTv,Whack World,https://open.spotify.com/album/3ogNAkUhvQy0cFOfLoR6Y8,Tierra Whack,https://open.spotify.com/artist/4lPl9gqgox3JDiaJ1yklKh,2022-03-08,60000,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
I'm The Shit,https://open.spotify.com/track/7xvH8b20hOofWwxVo1aOvG,Taylor Made,https://open.spotify.com/album/28bebqd6h16USwC16XU8nV,Mari Taylor,https://open.spotify.com/artist/5wC3UaKzdIu72XMWQY2hbI,2022-03-08,143680,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
In My Bag,https://open.spotify.com/track/5aKvdpWyjO14xB04CTEpEw,Space and Time,https://open.spotify.com/album/3FsgJirEdTynPXLGvct53E,Justine Skye,https://open.spotify.com/artist/0jUQSUOcM7lxVn5eVGTkzQ,2022-03-08,208591,2022-05-30,"A <a href=""http://www.womeninmusic.org"">Women in Music</a> curated list of barrier-breaking talent impacting the music world. Features songs from artists directly from our WIM Community | Cover: Flo Milli",Shatter the Glass
