track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Asking for a Ride,https://open.spotify.com/track/22A1wUyMjB1UtQc4JsnSpO,Asking For A Ride,https://open.spotify.com/album/4EkYXTP0vpp1dmPadvfAlK,White Reaper,https://open.spotify.com/artist/75klPfIVnyYcyEGaicRUSF,2023-02-20,175202,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Backflip,https://open.spotify.com/track/6ToBQbSgwhDaaWv4Oira3t,Fairy Rust,https://open.spotify.com/album/0wl8ikp9PHraTsaKP1haF7,Wombo,https://open.spotify.com/artist/67GGyFejJ19UWUjJlLhJq4,2022-08-08,142016,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Barbaric,https://open.spotify.com/track/71o2pLB6Xu62uVjqpwmiS9,The Ballad of Darren,https://open.spotify.com/album/0gIZSG9WUDO3TK0B5y7UtU,Blur,https://open.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS,2023-07-24,248774,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Battle Scars,https://open.spotify.com/track/4l42ScC0z19ygzbpS4JzGi,Battle Scars,https://open.spotify.com/album/0SnmtDqaj4eNcdraEEnJ9W,MOD SUN,https://open.spotify.com/artist/3u2R8st1bb6zfBqNWceRXG,2022-09-12,171672,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Better With,https://open.spotify.com/track/1O1GLjtl8cMiTLWWLU9hQc,Better With,https://open.spotify.com/album/74RwAWj0wKofIBAyDLrxPS,Friday Pilots Club,https://open.spotify.com/artist/3PgEvPJKRuil74QPX8wtXY,2022-08-08,163373,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Big Strum,https://open.spotify.com/track/02X2Nu1LCIPpaCxMYjXu8L,New Ruin,https://open.spotify.com/album/7C9cX1cxSbHnzGPBQVQfeG,The Flatliners,https://open.spotify.com/artist/6bx5jeXP6LSRVY29adUFdB,2022-08-08,189062,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Birthright,https://open.spotify.com/track/5cWcCvwwONGBqzTSaFqUri,Birthright,https://open.spotify.com/album/5f45gB0MYo3vfKWXotr8xZ,Youth Fountain,https://open.spotify.com/artist/5e9SnnT1mabuWwjwu6FrZD,2022-10-19,185371,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Blessings And Curses,https://open.spotify.com/track/5qcXyw8lHLDSb4pqHZTvcp,All The Stories Left To Tell,https://open.spotify.com/album/2PmFWoX5axKThomWSLUESj,Domestic Terminal,https://open.spotify.com/artist/3o3bs6Bc4pqN73GKc1SXyp,2022-08-08,262430,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
BLOODSTREAM,https://open.spotify.com/track/3ey44BzqrH2Si5FmeFZ300,BLOODSTREAM,https://open.spotify.com/album/3A1dpM3b53KREb9DeWsEoP,Hot Milk,https://open.spotify.com/artist/1koutXdSFq2PHqtxSWj9tK,2023-07-24,189312,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Blue Light,https://open.spotify.com/track/0E62dIoUp7yuQqBCw3p7v0,Keep On Smiling,https://open.spotify.com/album/0SbaC7OZOVB2WKGzf9ZMSQ,Two Door Cinema Club,https://open.spotify.com/artist/536BYVgOnRky0xjsPT96zl,2022-09-12,233909,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Body of Water,https://open.spotify.com/track/3TjFqrftvy7rpnRKGWSV4i,"Thaw, Freeze, Thaw",https://open.spotify.com/album/1n1MhIfFSPFJSVNkY4odM8,Paper Bee,https://open.spotify.com/artist/6mG3tESfML3Vwh6tmmupBj,2023-05-24,348703,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Body Paint,https://open.spotify.com/track/11jRCxY01k9jvCdUru0EeP,Body Paint,https://open.spotify.com/album/0AtlEQ56o0yKOd9qM1EBp0,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,2022-10-19,290584,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
boy,https://open.spotify.com/track/3Qw0WuniULBdYjXe2jsqCy,boy,https://open.spotify.com/album/7ddxzwtg0QQj9kXYK29rpG,The Killers,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu,2022-08-08,198480,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
