track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(You Gotta) Fight For Your Right (To Party!),https://open.spotify.com/track/1JdRlbZaZPXEoktI03IWQC,Solid Gold Hits,https://open.spotify.com/album/0AJhDqW2o17B1c7FuihKaS,Beastie Boys,https://open.spotify.com/artist/03r4iKL2g2442PT9n2UKsx,2023-07-10,210946,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Beer,https://open.spotify.com/track/7qEm8Z4KFLdCMlv96KykVd,Turn The Radio Off,https://open.spotify.com/album/5nO5x1Qgnf7zwmO83qrHRn,Reel Big Fish,https://open.spotify.com/artist/3bXhZFreBJF4QDUUiMmtZW,2023-07-10,210533,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Best I Ever Had (Grey Sky Morning),https://open.spotify.com/track/2EVNYzHWebyLvKxPX6Ozt8,Everything You Want,https://open.spotify.com/album/2gJ6axVHAsQmmO6nslQRN1,Vertical Horizon,https://open.spotify.com/artist/6Hizgjo92FnMp8wGaRUNTn,2023-07-10,270800,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Better Days (And the Bottom Drops Out),https://open.spotify.com/track/460Wn6Dq2uMviG5nPXtPnb,Mobile Estates,https://open.spotify.com/album/74T4OTGbvmJWobgc4ABtMq,Citizen King,https://open.spotify.com/artist/2Ca9nb6MJ3lwyF7dRNJm3M,2023-07-10,207026,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Better Man,https://open.spotify.com/track/2B98ljvzqpCVgt5reTHq28,Vitalogy,https://open.spotify.com/album/5pd9B3KQWKshHw4lnsSLNy,Pearl Jam,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,2023-07-10,268586,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Big Me,https://open.spotify.com/track/6pb5BBnIM5IM7R1cqag6rE,Foo Fighters,https://open.spotify.com/album/4EnNuo8fG7dMoxMefbApRY,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,2022-04-07,132840,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Black,https://open.spotify.com/track/5Xak5fmy089t0FYmh3VJiY,Ten,https://open.spotify.com/album/5B4PYA7wNN4WdEXdIJu58a,Pearl Jam,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,2022-04-07,342653,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Black Hole Sun,https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD,Superunknown (Deluxe Edition),https://open.spotify.com/album/29sTacnS0qA9xri6YS8xLA,Soundgarden,https://open.spotify.com/artist/5xUf6j4upBrXZPg6AI4MRK,2022-04-07,318586,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Blind,https://open.spotify.com/track/1pr9TZGOXeJUggIal1Wq3R,Korn,https://open.spotify.com/album/7D3XFJlfZIkmGWqZXm2X8z,Korn,https://open.spotify.com/artist/3RNrq3jvMZxD9ZyoOZbQOD,2023-07-10,258266,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Blue Sky Mine - 2011 Remaster,https://open.spotify.com/track/6z9ehfxE973fOlKJKNJL2x,Blue Sky Mining (Remastered),https://open.spotify.com/album/4C3raKL0dzfTitM3YtqN1S,Midnight Oil,https://open.spotify.com/artist/72KyoXzp0NOQij6OcmZUxk,2023-07-10,255600,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Blue Sky Mine - Remastered,https://open.spotify.com/track/64eZ2hy7R21VDPgzeQrb9q,20000 Watt RSL - The Midnight Oil Collection,https://open.spotify.com/album/2H371tT3IIvmqji0iZCp0O,Midnight Oil,https://open.spotify.com/artist/72KyoXzp0NOQij6OcmZUxk,2022-04-07,260160,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Bombtrack,https://open.spotify.com/track/2rBHnIxbhkMGLpqmsNX91M,Rage Against The Machine - XX (20th Anniversary Special Edition),https://open.spotify.com/album/4Io5vWtmV1rFj4yirKb4y4,Rage Against The Machine,https://open.spotify.com/artist/2d0hyoQ5ynDBnkvAbJKORj,2023-07-10,243453,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Boy Or A Girl,https://open.spotify.com/track/3SHF3QbNhm2oMBuFjCCpvI,IMPERIAL DRAG,https://open.spotify.com/album/5NRxuGsg8xfP7M9c7wXL6f,Imperial Drag,https://open.spotify.com/artist/6kS9TQRsvML8xOdE5LRstQ,2023-07-10,245600,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Break Stuff,https://open.spotify.com/track/5cZqsjVs6MevCnAkasbEOX,Significant Other,https://open.spotify.com/album/3HCCUaRSjHSFOe4fqE0BiP,Limp Bizkit,https://open.spotify.com/artist/165ZgPlLkK7bf5bDoFc6Sb,2023-07-10,166706,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Breakout,https://open.spotify.com/track/2kh0u2d2YKQ7BCqeLPdHk6,There Is Nothing Left To Lose,https://open.spotify.com/album/28q2N44ocJECgf8sbHEDfY,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,2023-07-10,200800,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Brick,https://open.spotify.com/track/4jKq1e80xAYixkIwt6YyV1,Whatever And Ever Amen (Remastered Edition),https://open.spotify.com/album/3oz8kworUyU7oXjaEVhDsZ,Ben Folds Five,https://open.spotify.com/artist/44gRHbEm4Uqa0ykW0rDTNk,2022-04-07,271720,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Buddy Holly,https://open.spotify.com/track/7GptbanebPZYkLPvjNfd6m,Weezer (Deluxe Edition),https://open.spotify.com/album/33CmI2lR8PnQwz6133Mc7l,Weezer,https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu,2022-04-07,159586,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Bulls On Parade,https://open.spotify.com/track/0tZ3mElWcr74OOhKEiNz1x,Evil Empire,https://open.spotify.com/album/24E6rDvGDuYFjlGewp4ntF,Rage Against The Machine,https://open.spotify.com/artist/2d0hyoQ5ynDBnkvAbJKORj,2022-04-07,229466,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Butterfly,https://open.spotify.com/track/4BggEwLhGfrbrl7JBhC8EC,The Gift Of Game,https://open.spotify.com/album/0hdOk76DmEMYI6QV92mIin,Crazy Town,https://open.spotify.com/artist/4iSKnRZAxkmqNok6tv10Se,2023-07-10,216733,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Celebrity Skin,https://open.spotify.com/track/2V4Bc2I962j7acQj1N0PiQ,Celebrity Skin,https://open.spotify.com/album/2KE8WCHtD8qnAxXeIzNEId,Hole,https://open.spotify.com/artist/5SHQUMAmEK5KmuSb0aDvsn,2023-07-10,162666,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Champagne Supernova,https://open.spotify.com/track/6EMynpZ10GVcwVqiLZj6Ye,(What's The Story) Morning Glory?,https://open.spotify.com/album/2u30gztZTylY4RG7IvfXs8,Oasis,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,2022-04-07,450506,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
Cherry Pie,https://open.spotify.com/track/7LygtNjQ65PSdzVjUnHXQb,Cherry Pie,https://open.spotify.com/album/4LgsHyufRmmcB1HIqTES19,Warrant,https://open.spotify.com/artist/7HLvzuM9p11k9lUQfSM4Rq,2023-07-10,201026,2022-06-10,1990s alt rock | 90s alternative rock | 90s hits | grunge | b-sides | deep cuts | rock classics | 90s throwbacks | punk | indie | early 90s | late 90s | alice in chains | foo fighters | korn | pearl jam | rage against the machine | tool | dave matthews band | incubus | system of a down | wheatus,90s ALTERNATIVE ROCK
