track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
against my shell,https://open.spotify.com/track/3NFCE6NPiC645n1yhHV3O7,against my shell,https://open.spotify.com/album/4v3lJ0GrI0VsPXhOizyIAm,"Joshua Lanuarii, Kittydog","https://open.spotify.com/artist/5UrcSa9Z62ghyOdApP1Uyw, https://open.spotify.com/artist/7fTIFQR4VTaYGT0RIftq2v",2020-12-12,154540,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
all you ever wanted,https://open.spotify.com/track/63wUwB7RYxjCzCuIdsZTCH,ETCETERA,https://open.spotify.com/album/0fTak0CKH66gXnByOQKeEy,nbmusic,https://open.spotify.com/artist/2MJLDXe5MaU4v11KLWXR9J,2023-11-17,195918,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
away from what matters,https://open.spotify.com/track/5Ih1m5YZudr5O6SOhQSDQF,AWAY FROM WHAT MATTERS,https://open.spotify.com/album/5f0j7F675Kv00GwG8L7D2M,Joshua Lanuarii,https://open.spotify.com/artist/5UrcSa9Z62ghyOdApP1Uyw,2022-09-30,247899,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
BANG BANG (MY BABY SHOT ME DOWN),https://open.spotify.com/track/0uz0qDHL80vqkEAOCs4Wum,NEVER CATCH THE LIGHT,https://open.spotify.com/album/6rIOkuaebeu7vaXeWzt1wO,Joshua Lanuarii,https://open.spotify.com/artist/5UrcSa9Z62ghyOdApP1Uyw,2024-12-27,208571,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
beaches of hawaii,https://open.spotify.com/track/4JRmpECfImS4u8ZwrqtMYp,ETCETERA,https://open.spotify.com/album/0fTak0CKH66gXnByOQKeEy,nbmusic,https://open.spotify.com/artist/2MJLDXe5MaU4v11KLWXR9J,2023-11-17,180512,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
BEAR YOUR FANGS,https://open.spotify.com/track/31bqp8q08EOV62NXr7bQSa,BEAR YOUR FANGS,https://open.spotify.com/album/0cKHSmukSYFb9O29FHcHDj,"Joshua Lanuarii, Kittydog, Vincent & The Black Rabbit","https://open.spotify.com/artist/5UrcSa9Z62ghyOdApP1Uyw, https://open.spotify.com/artist/7fTIFQR4VTaYGT0RIftq2v, https://open.spotify.com/artist/1L8i0OGcP78idTEtpFBZ3e",2024-08-08,181777,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
BEAR YOUR FANGS,https://open.spotify.com/track/6Rl5PrsLA0Vz9bx3E0QV9G,NEVER CATCH THE LIGHT,https://open.spotify.com/album/6rIOkuaebeu7vaXeWzt1wO,"Joshua Lanuarii, Kittydog, Vincent & The Black Rabbit","https://open.spotify.com/artist/5UrcSa9Z62ghyOdApP1Uyw, https://open.spotify.com/artist/7fTIFQR4VTaYGT0RIftq2v, https://open.spotify.com/artist/1L8i0OGcP78idTEtpFBZ3e",2024-12-27,181777,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
better days,https://open.spotify.com/track/6SDjk0LJ182IzdU5LSUn6r,Heart After Dark,https://open.spotify.com/album/5SLn2QEN2rPc5xkJp1kgmR,Joshua Lanuarii,https://open.spotify.com/artist/5UrcSa9Z62ghyOdApP1Uyw,2021-01-16,136359,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
Black Mass,https://open.spotify.com/track/1O047NE68YUR6j26zBPz2O,Black Mass,https://open.spotify.com/album/23aOWuA3ezrcNekrUG9miW,Vincent & The Black Rabbit,https://open.spotify.com/artist/1L8i0OGcP78idTEtpFBZ3e,2024-12-07,410307,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
blister in the sun,https://open.spotify.com/track/5fB3cqk5AarUCXa13YdSMi,ETCETERA,https://open.spotify.com/album/0fTak0CKH66gXnByOQKeEy,nbmusic,https://open.spotify.com/artist/2MJLDXe5MaU4v11KLWXR9J,2023-11-17,142344,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
BO JACKSON,https://open.spotify.com/track/1U6cjBDDVuY9juyVAQSHBh,KNOWITALL,https://open.spotify.com/album/3taqQGM1QEr2Mb5zKdfFHI,"MouSa, 10kBabyJayy, PM","https://open.spotify.com/artist/7HS7UAenyadIf7FTYqSNgn, https://open.spotify.com/artist/3dryNYuYUkN0uFg1vzxzl1, https://open.spotify.com/artist/56jug7ZPZPqlWGEGvuitx4",2022-10-29,158701,2024-12-14,"REINVENTED IN 2024. FEATURING: Joshua Lanuarii, Kittydog, Squiblers, MouSa, nbmusic &amp; Vincent &amp; The Black Rabbit.",VAMPIRES ARE FOREVER | 2024
