track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2 Dumb Kids,https://open.spotify.com/track/75bs250qy6CzGEDxExe3sP,2 Dumb Kids,https://open.spotify.com/album/2rvUElOjzUMKDVkAFVGR3v,Levent Geiger,https://open.spotify.com/artist/7JSBgXyCDzX24iZCHJofIG,2023-03-15,159230,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
All Things Pass - Live at Hollywood Palladium,https://open.spotify.com/track/19GNUsTrKKX3tSKYOPAUbT,Sunset 666 (Live at Hollywood Palladium),https://open.spotify.com/album/5uFiLgcEGeWpM0oE1WQb4u,The Jesus and Mary Chain,https://open.spotify.com/artist/4rjlerN21ygkIhmUv55irs,2023-08-07,277893,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
"Alright - from the Amazon Original Movie ""Catherine Called Birdy""",https://open.spotify.com/track/4lB1S8lQV3OPMitzw9jKFi,"Alright (from the Amazon Original Movie ""Catherine Called Birdy"")",https://open.spotify.com/album/4HZrlz4WsNgkVGWtEZTxZD,Misty Miller,https://open.spotify.com/artist/2O4XS2arv9HMIKQUfl8LKU,2022-09-30,256717,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
Always Be My Baby,https://open.spotify.com/track/2aBxt229cbLDOvtL7Xbb9x,Daydream,https://open.spotify.com/album/1ibYM4abQtSVQFQWvDSo4J,Mariah Carey,https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ,2022-06-03,258133,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
AM Gold - Tobtok Remix,https://open.spotify.com/track/7Bu6XaIeytnFdLrpMEpdug,AM Gold (Tobtok Remix),https://open.spotify.com/album/1Y7HKitOClNC69qVhPtWWD,"Train, Melanie C, Tobtok","https://open.spotify.com/artist/3FUY2gzHeIiaesXtOAdB7A, https://open.spotify.com/artist/60vX3zLcdKRXvKLITVh5Df, https://open.spotify.com/artist/6pcxIOhQCNb7DX2iuEXgxL",2022-06-03,189079,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
AMANTES,https://open.spotify.com/track/3Q7o2zzvXj7QiSCumjBpvu,AMANTES,https://open.spotify.com/album/2yEEceuPovV5sAoey4GUJF,"Becky G, Daviles de Novelda","https://open.spotify.com/artist/4obzFoKoKRHIphyHzJ35G3, https://open.spotify.com/artist/6E94QKXZv8BbO6QQJxcxLI",2022-09-19,180153,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
AMAZING,https://open.spotify.com/track/6FtIK0IkmG33lKbc1pyAlZ,AMAZING,https://open.spotify.com/album/0iv1vqUOxADWV9vhTlF4Qe,Rex Orange County,https://open.spotify.com/artist/7pbDxGE6nQSZVfiFdq9lOL,2022-06-03,209200,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
Amber,https://open.spotify.com/track/51UtgWS4z1eMPuLQOzPtNH,Greatest Hits '93 - '03,https://open.spotify.com/album/0OsjlbBaSZFbZnXGAUysMG,311,https://open.spotify.com/artist/41Q0HrwWBtuUkJc7C1Rp6K,2023-03-24,211080,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
Angel,https://open.spotify.com/track/2soZTM1x1GBiQGMAsXKXpd,Angel,https://open.spotify.com/album/0VsjdPYUzQti57JmByRQvz,Halle,https://open.spotify.com/artist/3HsVtnnjOUToyJThxaoBfx,2023-08-07,219133,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
Anyone For You (Tiger Lily),https://open.spotify.com/track/5iFQfP3AqVnHHS89LKQisL,Anyone For You (Tiger Lily),https://open.spotify.com/album/7H1EYBP5XYudqRhjL5vG5j,George Ezra,https://open.spotify.com/artist/2ysnwxxNtSgbb9t1m2Ur4j,2022-06-03,187682,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
Bad Vibrations,https://open.spotify.com/track/6zTKuNMEU3svBn65L6u88M,Bad Vibrations,https://open.spotify.com/album/29q8kyiWQBvu9kJ3kJ859E,Jesper Jenset,https://open.spotify.com/artist/4Q6zYbQ2MrKiEWTGB3yrPv,2022-06-03,199379,2022-06-10,happy | vibes | feel good | music | mood boost | happy hits | clean pop | positive vibes | dopamine | serotonin | high vibes | happy summer | positive affirmation | upbeat | drive | windows down | good vibes | indie | pop | rock | alternative | feelin' good | healing | rise | smile,Feel Good 🤩 Happy Hits
