track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"1,000 Names",https://open.spotify.com/track/0LxqmMhefR4Wd2DtYZj509,"1,000 Names",https://open.spotify.com/album/1EUSij1Z8g0aYZ9ENNzEiL,Sean Curran,https://open.spotify.com/artist/4OWmbcuUeVoBCmgMEASW3c,2024-04-23,324949,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
"10,000 Armies - Live",https://open.spotify.com/track/6KT2LmKWum34CzB53sFEk4,ages (Deluxe / Live),https://open.spotify.com/album/0fqGvPL2KwVyif5k81ZjJo,"Influence Music, Jonathan Traylor","https://open.spotify.com/artist/7ory6rfLtmQet7a16o4vvC, https://open.spotify.com/artist/7KcmdvVaaO7Y0pmHQjOEFo",2022-02-17,343202,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
"10,000 Reasons (Bless The Lord) - Live",https://open.spotify.com/track/0fxpHpK3aw2nFWII6yveDD,"10,000 Reasons (Live)",https://open.spotify.com/album/0av22wHGgPZRC0BkGrnVVJ,Matt Redman,https://open.spotify.com/artist/0bz9hDpUbAw5JElgEiuIYZ,2022-04-05,342493,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
23,https://open.spotify.com/track/5egr0YZazg7e17gCxFsVbA,23,https://open.spotify.com/album/2mttMnvIhccSExY7qsC2Fg,"Legacy Nashville, Brian Nhira, Gracie Binion","https://open.spotify.com/artist/0z4zqQUZicpUdBmnLRvFje, https://open.spotify.com/artist/7D9JzM95gIe11f6L3h1w1L, https://open.spotify.com/artist/0ZDuCmctvivaIwQuHrg48n",2025-01-31,345959,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
A Love That Remains - Live,https://open.spotify.com/track/1FdOOpG8dbKNtaYZoRyUaK,A Love That Remains (Live),https://open.spotify.com/album/0YyW1L5DWyeiCQWV4pUfXY,Bryan McCleery,https://open.spotify.com/artist/3rObLZdf0Oo2pr06KSZlD1,2022-02-18,510018,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
A Million Chances,https://open.spotify.com/track/0sfd53iGsKTy4lo6NGwbYg,A Million Chances,https://open.spotify.com/album/24JZao6BL4cMvLwgCX9eLn,Jamie MacDonald,https://open.spotify.com/artist/0cZttbEqSCC76paqdgVLL4,2024-11-15,201433,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
A Thousand Hallelujahs,https://open.spotify.com/track/51s1AhJAFMc8Yb3FitJc4r,A Thousand Hallelujahs,https://open.spotify.com/album/6cd1y3444OW0PCDI7CkQmS,Maranatha! Music,https://open.spotify.com/artist/67OFzndMlzj7cDF2BqnwYe,2022-05-20,240000,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
A Thousand Hallelujahs - Live,https://open.spotify.com/track/0yQNofkmcY7exdnWvjTUHu,A Thousand Hallelujahs (Live),https://open.spotify.com/album/5Lc6XxnPUfunAvhY5I6lxV,Brooke Ligertwood,https://open.spotify.com/artist/7iETGaxJ4crz3qaljDPCKC,2022-02-17,309329,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
A Thousand Hallelujahs - Live,https://open.spotify.com/track/3iJpkw9KKdzMNZQVrdRzsl,SEVEN (Live),https://open.spotify.com/album/6ZVXKVGiyL96L6pflgfWrt,Brooke Ligertwood,https://open.spotify.com/artist/7iETGaxJ4crz3qaljDPCKC,2022-03-15,309329,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
A Thousand Hallelujahs - Radio Version,https://open.spotify.com/track/7Epq07uvSDsLNul46niwb2,A Thousand Hallelujahs,https://open.spotify.com/album/3u2dlepgO3ee53VzrrhT5C,Brooke Ligertwood,https://open.spotify.com/artist/7iETGaxJ4crz3qaljDPCKC,2023-02-10,222014,2022-03-01,"Top Christian Worship 2025 | The latest and greatest of today's best Worship music for Worship Nights, Sunday Mornings and everyday worship! Featuring artist's such as Chris Tomlin, Kari Jobe, Cody Carnes and Benjamin William Hastings! Made by <a href=""spotify:user:sozoofficial"">SOZO Playlists</a>!",Top Christian Worship 2025
