track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Let's Play,https://open.spotify.com/track/4XoTO4jKYPdvGyfj0cUqVP,Let's Play,https://open.spotify.com/album/364GIgp0PFkrFr7FaqGP6K,MADZI,https://open.spotify.com/artist/3TfYPq0TUpyzE2QR4iEU8K,2024-07-08,152056,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
LEVITATE,https://open.spotify.com/track/1CTtPSqqZEGXOi42FFb736,LEVITATE,https://open.spotify.com/album/0D8oXXB0uBxGCsjUeLmkay,Neoni,https://open.spotify.com/artist/38wxcfNEqMwuPniHvplin5,2022-02-03,183274,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Light,https://open.spotify.com/track/6pO4iuzfi0PVODLtm0y4dN,Light,https://open.spotify.com/album/2TGOblwUSAVufEeIDQeOoP,"Andromedik, Murdock, Dualistic","https://open.spotify.com/artist/7miXLG9boDOGHJaEelSL7T, https://open.spotify.com/artist/501MfkAIop4dRLvOqjlMHl, https://open.spotify.com/artist/5kVFEq0ZL9wPGx6nnJDcm8",2023-01-20,253793,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Lights,https://open.spotify.com/track/5qJGvX78Xi4LORgE3MvoWl,Lights,https://open.spotify.com/album/0UxhkAPTmjm1ghVyd5uodv,Whales,https://open.spotify.com/artist/5zId1SmYy46E9v2KQsSTFR,2023-08-10,195200,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Like That,https://open.spotify.com/track/6L6i0zjctc5rS1JM0mmbpt,Like That,https://open.spotify.com/album/2FGyG6fnPfnEzrqT0Ar6YG,"Siik, JJL","https://open.spotify.com/artist/3dWrzZ5NrBW1cRHeU15Yrf, https://open.spotify.com/artist/41QZ7uWNkyqF0PbJsd5nXv",2023-08-10,160476,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Live A Lie,https://open.spotify.com/track/4lqjYjqcyRRNTbrwxaUwKa,Live A Lie,https://open.spotify.com/album/5ezJVTDdp2c41tYwUAuw4k,"Rival, Egzod, Andreas Stone","https://open.spotify.com/artist/4u1nYxjl132D6rcMeYQ6Zz, https://open.spotify.com/artist/3exvMmrLV6o4R42YnG3Id6, https://open.spotify.com/artist/4Z63ecu9ZjtVVsIuuOfua3",2022-02-03,212307,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Lonely Hour,https://open.spotify.com/track/1uqVKaE5nMAf5GLQGSglly,Lonely Hour,https://open.spotify.com/album/0jFbYifq12XTyvYpKw1wF1,"MAD SNAX, Poylow, New Beat Order","https://open.spotify.com/artist/33MJONPoMWD0sKQvCHCdnu, https://open.spotify.com/artist/2u1KLzprGSRmfFhjt7MDYq, https://open.spotify.com/artist/0gQDOj4OisQbTq7FUEziea",2023-08-10,129000,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Long Night,https://open.spotify.com/track/7nxSIJKV6CorIHHpud0x4t,Long Night,https://open.spotify.com/album/4E3h3VhCNR88R2hPkM6Z5R,"JPB, Marvin Divine","https://open.spotify.com/artist/0t5H8FcoVPzn4sVeNxibMU, https://open.spotify.com/artist/2ipbBHbU59PKSeDXAgMpkd",2022-02-03,125505,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
Long Night - pt. II,https://open.spotify.com/track/4ED1RqjJk6897tNtZv9g8n,Long Night pt. II,https://open.spotify.com/album/3iW7D4nln8Ga8p19ygWiKE,"JPB, M.I.M.E, Drama B","https://open.spotify.com/artist/0t5H8FcoVPzn4sVeNxibMU, https://open.spotify.com/artist/1RdQK73ZgvXjkaBJkibE6X, https://open.spotify.com/artist/1Ars2RdXFbmt04pZ5g2RNr",2022-02-03,137872,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
LOOK AT ME!,https://open.spotify.com/track/0Ll9cyI1ZfDXRqeatIVHc2,LOOK AT ME!,https://open.spotify.com/album/4IoK5B9QJONah9n0d1MurH,Rxm リム,https://open.spotify.com/artist/6xQr9sbtrCuoW4qJoATNLB,2023-08-10,182250,2022-06-10,NCS / NoCopyrightSounds royalty free gaming music for YouTube &amp; Twitch Streaming,Gaming Music 2025
