track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"3 Gymnopédies: No. 1, Lent et douloureux",https://open.spotify.com/track/5xwizYZCXpF45lBvzBPB9R,Labyrinth,https://open.spotify.com/album/5YuoyZkNZRLYISzFh7cS7e,"Erik Satie, Khatia Buniatishvili","https://open.spotify.com/artist/459INk8vcC0ebEef82WjIK, https://open.spotify.com/artist/0bouHpX4JiuPnIfP2jFxRi",2020-10-20,210800,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
"4 Lieder, Op. 27, TrV 170: IV. Morgen! (Arr. for Cello and Piano by Julian Riem)",https://open.spotify.com/track/1HsXXL7Vvj9H1hj0bua2qa,Richard Strauss: Cello Sonatas,https://open.spotify.com/album/7LUxCLNHgO5htMMCmnovb4,"Richard Strauss, Raphaela Gromes, Julian Riem","https://open.spotify.com/artist/6pAwHPeExeUbMd5w7Iny6D, https://open.spotify.com/artist/1MBdqvpYGau9IvRqwsSS50, https://open.spotify.com/artist/7xblEPvRNj5mqQ1vzV0g2D",2020-02-27,226320,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
"5 Stücke im Volkston, Op. 102: II. Langsam",https://open.spotify.com/track/72M1QxJ62X7eCpt5v6uSZb,Schumann,https://open.spotify.com/album/2RcexpTBL3UC95AwyTqZAp,"Robert Schumann, Sol Gabetta, Bertrand Chamayou","https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ, https://open.spotify.com/artist/4XvLzjMwnILZ9YnMHOVMIN, https://open.spotify.com/artist/28Bn2PxtmXD8UbBSM968Fp",2019-12-16,201080,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
A Hidden Life,https://open.spotify.com/track/47DntXSOPNd1r8z3gergEP,A Hidden Life,https://open.spotify.com/album/6CiMatDAzdpJXM3Ad7NIaL,"James Newton Howard, Eldbjørg Hemsing, Arctic Philharmonic","https://open.spotify.com/artist/2M4eNCvV3CJUswavkhAQg2, https://open.spotify.com/artist/4M2W6hcJWi6Nrd3XelpO3F, https://open.spotify.com/artist/2h8O4ix84B1H0Qj3TQfl6f",2022-11-19,168893,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
"Adagio in E-Flat Major, K. 15kk",https://open.spotify.com/track/34AdPPizyBq6jTfKmmolvG,"Baby Klassik, Vol. 2: Musik, die beruhigt und Kindern guttut",https://open.spotify.com/album/375CCVxEAv3yUlO4SdQqNr,"Wolfgang Amadeus Mozart, Martin Stadtfeld","https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS, https://open.spotify.com/artist/2Habwewg0ZpMr2YWSTANE9",2019-12-16,253493,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
"Adagio Variation (From Adagio in G Minor, Arr. for Violin and Piano by Svetoslav Karparov)",https://open.spotify.com/track/3F6X1sIi94oXy7uOlZjapb,"Adagio Variation (From Adagio in G Minor, Arr. for Violin and Piano by Svetoslav Karparov)",https://open.spotify.com/album/0Nh2QA6p4cGydD4VTSZuQa,"Tomaso Albinoni, Remo Giazotto, Gabriele Bagnati, Esther Abrami","https://open.spotify.com/artist/17OArJzEhRR3OmhtGcnfBq, https://open.spotify.com/artist/2XVw29JYdo8C5MfteMnCqL, https://open.spotify.com/artist/0OG7Jsxh29ESIeAHlElBOj, https://open.spotify.com/artist/5zCkKfOMcIx8ISU53JBPng",2022-07-30,192080,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
Adoration (Arr. for Cello & Orchestra by Julian Riem),https://open.spotify.com/track/7BXEyMmzTPhGVtRmcNC1pK,Femmes,https://open.spotify.com/album/7dXJjabk2Fcn4lE3g3VpPU,"Florence Beatrice Price, Raphaela Gromes, Lucerne Festival Strings, Daniel Dodds","https://open.spotify.com/artist/1M9s5TbPcKurMEzvvW0FFH, https://open.spotify.com/artist/1MBdqvpYGau9IvRqwsSS50, https://open.spotify.com/artist/0sABleOLUMLgjJa6mpIaVc, https://open.spotify.com/artist/6o63U8OvSH1UfxT7xEbnEY",2023-02-17,199573,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
Air on a G String,https://open.spotify.com/track/0mD1a7haZKdX9I0oPywrMb,Classic,https://open.spotify.com/album/3gZv6Vq2Q2a300JEUV8Dq9,"Johann Sebastian Bach, HAUSER, London Symphony Orchestra, Robert Ziegler","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/2iSn12gFykgv92aTvPiH4s, https://open.spotify.com/artist/5yxyJsFanEAuwSM5kOuZKc, https://open.spotify.com/artist/6c3mMiMnHQtu4mGWN87CFx",2020-02-27,289640,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
"Aria Variation (From Goldberg Variations, BWV 988, Arr. for Piano by Svetoslav Karparov)",https://open.spotify.com/track/76bh0EXs3ZN2punISSC9Hk,"Aria Variation (From Goldberg Variations, BWV 988, Arr. for Piano by Svetoslav Karparov)",https://open.spotify.com/album/0V4AEqVPHm3Ks6AeJ5OMwM,"Johann Sebastian Bach, Gabriele Bagnati","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/0OG7Jsxh29ESIeAHlElBOj",2023-03-29,131160,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
Armellodie,https://open.spotify.com/track/3GfDVDXAs3sxsnfYJ2MG9z,Melody,https://open.spotify.com/album/0CWT7zFSzfNHq6mkY9dZxq,Olga Scheps,https://open.spotify.com/artist/07Nqz7k5QdR10iuTJkd6Mp,2020-01-22,280591,2023-10-27,"Klassik &amp; Instrumental Soundtrack Konzentration, Entspannen","Klassische Musik zum Lesen, Lernen & Studieren"
