track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Big Grey Boxes,https://open.spotify.com/track/59xbc8TCvpkgVoo9ldOpLz,Big Grey Boxes,https://open.spotify.com/album/3yRIBEQNXCCikZuuHSYprK,Timo de Jong,https://open.spotify.com/artist/0T34mF36A6mzLMqC0uoz7x,2023-02-23,259374,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Big Time,https://open.spotify.com/track/3RZ5VvBcCQgrRl8XaKZLa4,Big Time,https://open.spotify.com/album/5UsuKQY3qOMAYyuwaxH4Lx,"Angel Olsen, Sturgill Simpson","https://open.spotify.com/artist/6mKqFxGMS5TGDZI3XkT5Rt, https://open.spotify.com/artist/3vDpQbGnzRbRVirXlfQagB",2023-02-23,247666,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Bittersweet,https://open.spotify.com/track/4gitlSJ8ksxAMhmHxNKjNl,Bittersweet,https://open.spotify.com/album/3l4OdclVUWDKoS3G3qT1Rb,Rich McFeather,https://open.spotify.com/artist/1DGm9DpMlUDYqSYAbvfpqm,2023-03-16,215553,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Black Train,https://open.spotify.com/track/689ik4NbmpQeVmm99AjJq2,Black Train,https://open.spotify.com/album/4CZkAnPYSzhYa1eAVNpKt3,A Murder in Mississippi,https://open.spotify.com/artist/3iuF2R8o2xej4ZdbWdiNom,2024-11-08,237586,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Built And Broken,https://open.spotify.com/track/2oLl22EdWPR8u8hTtfgBPS,Built And Broken,https://open.spotify.com/album/3nSk18ZELTQqgdSYJBeZ1m,Blackbird,https://open.spotify.com/artist/5SU9mZVaI9pRXgXmIhG1fL,2023-02-23,268293,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Burlesque Desert Window,https://open.spotify.com/track/3wcayWWtzYs1DM6qu2p5nE,Burlesque Desert Window,https://open.spotify.com/album/4oUx1HJHLYrR89VrzjzHf4,Trampled by Turtles,https://open.spotify.com/artist/3GjVVVcFmUgEJEAAsbGkf4,2023-02-23,179573,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Burning Down the Prairie,https://open.spotify.com/track/3TlfVUdNVzHttc04CBYQQR,Burning Down the Prairie,https://open.spotify.com/album/1wcxYWaq7wm8OHQbx6yZjb,Ian Noe,https://open.spotify.com/artist/2TEpPi5SFalflhpcQHq3lB,2023-02-23,181466,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
By My Side,https://open.spotify.com/track/4o5tHS1nMLrBZD2WfUPMn8,By My Side,https://open.spotify.com/album/6bqpDp9MHIzsa9wx0DTKZT,Laura van Kaam,https://open.spotify.com/artist/4ywz66EHjNFUszU6lXLsXe,2023-04-27,173053,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
"C'mon Baby, Cry",https://open.spotify.com/track/67swXHVknS142T5tIcNFkl,Bronco,https://open.spotify.com/album/2hCcPHWTbvF81CiXPUrM6I,Orville Peck,https://open.spotify.com/artist/46auOkH1pk28rWrSoUNhLo,2023-02-23,210840,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
California,https://open.spotify.com/track/2TeTcoh9iB1uOOLiQBeTkT,California,https://open.spotify.com/album/4R2ALa4EonxEMxi0yDhcGj,Mattanja Joy Bradley,https://open.spotify.com/artist/6u9tyg6IXImKbuB5J12ush,2023-03-30,238018,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Can A Heart Take,https://open.spotify.com/track/755k9yt98SLiS13p5fNbAE,Can A Heart Take,https://open.spotify.com/album/4DqEQtnae4LHwyUO6xKF4O,Warren Zeiders,https://open.spotify.com/artist/7kplJl06UmldxLKseURAYi,2025-01-16,184586,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Can't Nobody,https://open.spotify.com/track/3QjMxiTf0OBM729FA0AqZy,Can't Nobody,https://open.spotify.com/album/29N9gvVvR2wiXR1hJR7M9R,Mackenzie Carpenter,https://open.spotify.com/artist/1gYlQ5LjfQz9QPaCApCsDZ,2023-02-23,203772,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Changing Lanes,https://open.spotify.com/track/2Llgpo9AXTBNNHfGwfJzVN,Changing Lanes,https://open.spotify.com/album/5jhFRab152NcnXSPab5GNO,Maurice van Hoek,https://open.spotify.com/artist/0XKAZ6AUBdENziqwAdzkD4,2023-08-17,178805,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Changing Lanes,https://open.spotify.com/track/6Qh1GNWfKNx3gn3WOA9sLQ,Changing Lanes,https://open.spotify.com/album/72aGx6oYmgBLunbmHbgmPE,Maurice van Hoek,https://open.spotify.com/artist/0XKAZ6AUBdENziqwAdzkD4,2023-05-11,178805,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Chase My Heart Away (Hero),https://open.spotify.com/track/0dX23H5gyR8CyaPLYN5hnP,Chase My Heart Away (Hero),https://open.spotify.com/album/0mQHBusXGoYpuHYXt6mS93,Douwe Bob,https://open.spotify.com/artist/6VSZeMeJlVPGoR2nfB6UxD,2024-07-25,209963,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Closing Time,https://open.spotify.com/track/0CIfnjBJxhYbL69mU4K4yl,Closing Time,https://open.spotify.com/album/75jo912nYXWzN6TY8bBFgO,"Deborah Parlor, Ed Struijlaart","https://open.spotify.com/artist/47nKN1WACRUyzwrDzQx7Jl, https://open.spotify.com/artist/08cpwYrPWo8Xkxl9qdiDP2",2023-04-27,202773,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Colours,https://open.spotify.com/track/1bVBp6PpUcxrn9EjA3uI50,"In The Morning, When We Rise",https://open.spotify.com/album/6qeEfohwybwm2zAPYLk2lM,Christof van der Ven,https://open.spotify.com/artist/4OmL1NFB2mS4Ipv9TAWC1F,2023-02-23,232725,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
Coyotes,https://open.spotify.com/track/3S0VPSpztymqIswSjQ8Pqm,Coyotes,https://open.spotify.com/album/678oZA2MpAcgLyFYKl0Bdy,KaiL Baxley,https://open.spotify.com/artist/3fV14PAU0MWFaj0Kt8MDWx,2023-02-23,296000,2023-02-25,De mooiste muziek: Americana | Country,Country & Americana
