track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
big body,https://open.spotify.com/track/0WYOPfaW8hYIUIm4R5EaF9,big body,https://open.spotify.com/album/3yU6rQq2bbOHH891oX3KHB,Jaylaflame,https://open.spotify.com/artist/5UdUCGK24WtRFRcXyzxN6U,2025-01-09,92106,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
bits&pieces,https://open.spotify.com/track/7uO2WKHjMtqRPu6GbvwQsq,bits&pieces,https://open.spotify.com/album/6QLi8rfBCQRs7CraUFxP7t,"2starkody, Tame, Jooshee, Shaddit","https://open.spotify.com/artist/2GkRXzc1YRTnodLmlx9Xly, https://open.spotify.com/artist/1Zzq6ToN7OhYCEs22vqa6b, https://open.spotify.com/artist/0nQ0lwEaTS69EGDOc9GvpZ, https://open.spotify.com/artist/5Hmyzbk372Y1rz87IHMTCv",2024-12-10,170294,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
bleed,https://open.spotify.com/track/4fb6ObPU2PA62dRVpTNMjc,bleed / lipstick 405,https://open.spotify.com/album/78lQ2a1xUfkn7I4Fqlqhbl,webcage,https://open.spotify.com/artist/4UT4nU8WhvaejIoes2t7d8,2025-01-31,180624,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
blood,https://open.spotify.com/track/5Z9XS7WE7F8B2VNS7dLxQJ,dirt,https://open.spotify.com/album/63rCvunuxHLa6oiNaBCTeH,kendall :3,https://open.spotify.com/artist/2hiVR9qgIJowlO17AE5mhY,2024-12-10,189613,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
blue shift,https://open.spotify.com/track/6VcYo9A3gvkS0g4Ps6T6Og,hey,https://open.spotify.com/album/1hsuJFcCJ8LlBeHHuoAfCV,kendall :3,https://open.spotify.com/artist/2hiVR9qgIJowlO17AE5mhY,2023-08-24,242000,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
boosterpack fx,https://open.spotify.com/track/1LfzbK5FAHP7C1kIZCAUzz,deadWorld(s),https://open.spotify.com/album/2rsHf3qGt1bBI5WXsWbptV,"robin's ghost, OkayKirk, coldpizza","https://open.spotify.com/artist/7wluTUzWSlXbe33U5TC94G, https://open.spotify.com/artist/7r9Nf86AyrMUWvbc8krSTx, https://open.spotify.com/artist/5RvcrWaucYqDPlrfnMBzDj",2024-04-09,192932,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
c'est la vie,https://open.spotify.com/track/2IX6hkAyFS2Ans6VwJkgWu,sunny paws,https://open.spotify.com/album/2ImC79HSj2ZFHTwoVQI5xU,lor2mg,https://open.spotify.com/artist/5JmWLxL2ESIufByQzPQ9zh,2024-11-21,268081,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
c.e.d. (manic),https://open.spotify.com/track/0Vji7774dqXL6TihvdLEEx,c.e.d. (manic),https://open.spotify.com/album/665k9OEF40QZt98Y2c2Z3a,salv the dog,https://open.spotify.com/artist/2RF0Qc90gHipSs8XWeGyTb,2024-07-29,98482,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Campfire Song,https://open.spotify.com/track/5ZK9bDniZfEkc0sjthyKSo,Campfire Song,https://open.spotify.com/album/0P9Ui8VhxgD5v8A3f681rU,fish eat cat,https://open.spotify.com/artist/4lqXQlGrKjNYgXi5fTPBZa,2023-08-13,245497,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
Can You Hear Me,https://open.spotify.com/track/1dtaawRuJKq1h55UDojE8i,Circular Rainbows,https://open.spotify.com/album/1OWaZm1VF8nmC4wteS4eWd,Floralia,https://open.spotify.com/artist/2HSpGh8ARgTJY3qmiKXkLV,2024-08-21,203139,2024-12-14,"furry, ΘΔ, indie. Cover: <a href=""https://open.spotify.com/artist/1gVZVEcZQvNwe6hEdRlugH?si=xKEjvLs9Qz2sC0ciFa1-9Q"">GABUISLOST</a> || Visit our <a href=""https://indieanthro.com"">website</a> for more ✨",indieAnthro
