track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Bass Player's Brother,https://open.spotify.com/track/173EdxsH4UHQqPxE5y4kLd,Bass Player's Brother,https://open.spotify.com/album/1CANmUTLemKiVtLrHamDSg,Valley,https://open.spotify.com/artist/7blXVKBSxdFZsIqlhdViKc,2024-08-10,186489,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)",https://open.spotify.com/track/7fcZk7OXeFWD7DWybltVVf,Be Who You Are (Real Magic),https://open.spotify.com/album/1Pk1W5xbmAqG6wBNL4sjq5,"Jon Batiste, JID, NewJeans, Camilo","https://open.spotify.com/artist/0eRbECAGCLLiTyVXPBRexU, https://open.spotify.com/artist/6U3ybJ9UHNKEdsH7ktGBZ7, https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d, https://open.spotify.com/artist/28gNT5KBp7IjEOQoevXf9N",2023-12-01,189713,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Beautiful As You,https://open.spotify.com/track/2ObBVRY8a2lnAkNG62u9eC,Beautiful As You,https://open.spotify.com/album/4vxNYdHwi4uGsgYDHlKLVG,Thomas Rhett,https://open.spotify.com/artist/6x2LnllRG5uGarZMsD4iO8,2024-05-18,163894,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Bed Chem,https://open.spotify.com/track/1UHS8Rf6h5Ar3CDWRd3wjF,Short n' Sweet,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2024-11-18,171869,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Belong Together,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,Belong Together,https://open.spotify.com/album/3PlCMwyq6nuQYtoYproV1o,Mark Ambor,https://open.spotify.com/artist/11p2E654TTU8e0nZWBR4AL,2024-04-07,148317,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Big Feelings,https://open.spotify.com/track/6oNudfD8DF46sb5WyydBIi,Big Feelings,https://open.spotify.com/album/6KP7Oe350WhXOvByoFCsg9,Arkells,https://open.spotify.com/artist/3ShGiAyhxI6Rq3TknZ3gfk,2024-06-10,214000,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
BIRDS OF A FEATHER,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,2024-06-03,210373,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Bobcaygeon,https://open.spotify.com/track/1GaSs9Hdkx3HeVUCplwOn0,Bobcaygeon,https://open.spotify.com/album/3wStCQJW33pHYfN9pmnil1,Owen Riegling,https://open.spotify.com/artist/0FDlMMfT3tLEKM0QdEIHYu,2024-10-14,283687,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Bones,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,Bones,https://open.spotify.com/album/1Q9SnHWPNEjVM0LrBFvJ1q,Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,2023-12-01,165264,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
Bop Ba,https://open.spotify.com/track/2kohdOn9SEqiWlkIkOChy2,"Water the Flowers, Pray for a Garden",https://open.spotify.com/album/2AUF4A04JUP4xaSUmFjJnK,Valley,https://open.spotify.com/artist/7blXVKBSxdFZsIqlhdViKc,2024-09-02,212502,2023-12-14,"Start your morning right with this collection of songs! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_GoodMorning_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",Good Morning Music
