track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#1 Freak (feat. Ty Dolla $ign),https://open.spotify.com/track/0tgAhrvNPhSyMZR0wWbv6Z,Feed Tha Streets III,https://open.spotify.com/album/2ZiBfBw770CJC0f4SI1Tji,"Roddy Ricch, Ty Dolla $ign","https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB, https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq",2022-11-18,169005,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
300 Blackout,https://open.spotify.com/track/3y3NwQPQAjKCunRz2eKggA,Kutthroat Bill: Vol. 1,https://open.spotify.com/album/3QA68hsAUFPxoys8NGNtjs,Kodak Black,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,2022-10-28,166494,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
360,https://open.spotify.com/track/7JxexWxny7yJ3slTLmWz2U,360,https://open.spotify.com/album/5UlTVoEmOp7GuZN5PgnUq6,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,2024-05-10,133805,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
757,https://open.spotify.com/track/4vwHBxN5OGtUqqUWvWClGd,"10,000 gecs",https://open.spotify.com/album/2XS5McKf3zdJWpcZ4OkZPZ,100 gecs,https://open.spotify.com/artist/6PfSUFtkMVoDkx4MQkzOi3,2023-04-10,126426,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
8,https://open.spotify.com/track/17fMdv2JY435A1naCGTtby,CRASH,https://open.spotify.com/album/6GF5uzX2s0GsS4eGlM4h3m,Kehlani,https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX,2024-06-24,150262,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
A Memory Away,https://open.spotify.com/track/38Oho2Ycl7SCjEBr83qzyV,A Memory Away,https://open.spotify.com/album/5GfFGaxHa3h2YMjorHYNG8,Matt Maeson,https://open.spotify.com/artist/7gHscNMDI8FF8pcgrV8eIn,2022-07-08,232080,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Abigail,https://open.spotify.com/track/7agIX3ge0VVzTQAJTvJH5E,Last Night In The Bittersweet,https://open.spotify.com/album/0dp4Cl0ZqJYJJXIeH6dH1x,Paolo Nutini,https://open.spotify.com/artist/7x5rK9BClDQ8wmCkYAGsQp,2022-07-08,230329,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
About Damn Time,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,About Damn Time,https://open.spotify.com/album/4JApkbiesQxv5drdEZRlZC,Lizzo,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS,2022-04-15,191822,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Acid Eyes,https://open.spotify.com/track/6LTQO44rCg2mNQckEJdrSF,Last Night In The Bittersweet,https://open.spotify.com/album/0dp4Cl0ZqJYJJXIeH6dH1x,Paolo Nutini,https://open.spotify.com/artist/7x5rK9BClDQ8wmCkYAGsQp,2022-07-08,273349,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Act Up (feat. Lil Double 0),https://open.spotify.com/track/4PCeBgRGLqTVeuB6nsJ2bp,Act Up (feat. Lil Double 0),https://open.spotify.com/album/22dOOZq0WgOqscl7omzizV,"Mac Critter, Lil Double 0","https://open.spotify.com/artist/7JmGgf8Bb6u8Di8AO1sCne, https://open.spotify.com/artist/4uKEP0JYfpFtngWlgViewd",2022-11-18,170666,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
adore u,https://open.spotify.com/track/3YgtkOxZsTuaZdL8McA1FQ,adore u,https://open.spotify.com/album/7K3BWpksmH4L7BoqUdhZrL,"Fred again.., Obongjayar","https://open.spotify.com/artist/4oLeXFyACqeem2VImYeBFe, https://open.spotify.com/artist/6l7R1jntPahGxwJt7Tky8h",2023-08-14,220653,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
After Hours,https://open.spotify.com/track/2x03XLsTZ0o86h0cfHrkKF,After Hours,https://open.spotify.com/album/062urW4KS66GPlEHIueefz,Kehlani,https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX,2024-04-04,202414,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Afterneath,https://open.spotify.com/track/7j9kqWrBc4XFy7r5rRhLDQ,Last Night In The Bittersweet,https://open.spotify.com/album/0dp4Cl0ZqJYJJXIeH6dH1x,Paolo Nutini,https://open.spotify.com/artist/7x5rK9BClDQ8wmCkYAGsQp,2022-07-08,245013,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Ain’t No Fun,https://open.spotify.com/track/6IUHcXxOZpPKPzt8IVg7bv,Full Court Press,https://open.spotify.com/album/4MLxuO3jk1GYUfJIMYMZCS,"Wiz Khalifa, Big K.R.I.T., Girl Talk, Smoke DZA","https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop, https://open.spotify.com/artist/0CKa42Jqrc9fSFbDjePaXP, https://open.spotify.com/artist/6awzBEyEEwWHOjLox1DkLr, https://open.spotify.com/artist/3kf0gOpxWtkyeMNJVDQPtd",2022-04-08,147204,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
All Day I Dream About,https://open.spotify.com/track/5o9CWfDLfSLJ22BtUSMLBt,All Day I Dream About,https://open.spotify.com/album/17iyscgYIEAq4ldviegpNn,Joe P,https://open.spotify.com/artist/3pIwImfumJioKb0zHHP61x,2022-08-05,201667,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
All Dz Chainz (feat. Lil Baby),https://open.spotify.com/track/6f8nS2g21RNEL7gNG4WJVT,All Dz Chainz (feat. Lil Baby),https://open.spotify.com/album/6lXYbUYhqxR56YlzPe8NxW,"Gucci Mane, Lil Baby","https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo, https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",2022-07-08,138187,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
All Mine,https://open.spotify.com/track/5giRA9spF21RKZwWU0IQVK,All Mine,https://open.spotify.com/album/3nLds8PrG7OctU5NDjdn4t,Maddy Hicks,https://open.spotify.com/artist/0wKl6457qdsk7WxnqOeeFJ,2023-03-10,164824,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
All Nighter,https://open.spotify.com/track/7bqg7RANz4RaboN0Ga1Miq,All Nighter,https://open.spotify.com/album/1cQUgdn5goiU3fbKc3aykV,Tiësto,https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z,2023-03-10,134880,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
All Went Wrong,https://open.spotify.com/track/12frQEo8zwlc9gkCP5Kgzj,All Went Wrong,https://open.spotify.com/album/1V1PC5qOKobNVbxVvBK2fw,Li Rye,https://open.spotify.com/artist/1QudwWfbchyvkMXva3wdqn,2022-12-16,231331,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
amariah,https://open.spotify.com/track/5Y3woMar9eweHjuQI7g7Ke,amariah,https://open.spotify.com/album/1N9V66DngJLWDCHowp5sZU,Cadence Floria,https://open.spotify.com/artist/11Vu80Yb4WYdbkqROFixrS,2022-08-19,171219,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Ammunition (feat. NFL Tuewop),https://open.spotify.com/track/2hzn4an63epBDJwKqdJuz6,Kutthroat Bill: Vol. 1,https://open.spotify.com/album/3QA68hsAUFPxoys8NGNtjs,"Kodak Black, NFL Tuewop","https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7, https://open.spotify.com/artist/21l9QepqqD8472UabtDpSm",2022-10-28,192000,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Amo Brasil,https://open.spotify.com/track/60rQbnbH4K1isBJSkoz6RC,Amo Brasil,https://open.spotify.com/album/1k8Lz04KTVjj9jqQhIUvgo,"Shuko, Atlantic Chill","https://open.spotify.com/artist/1mOiWC7OH9ANUtt3vd0A10, https://open.spotify.com/artist/0IgHIEE4S1p89l6xs28SlP",2022-07-15,141143,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Angel (From Barbie The Album),https://open.spotify.com/track/0CpfO9VNiW0OGIaZO6zO3n,Angel (From Barbie The Album),https://open.spotify.com/album/7zSG5WWbS0P7pXbk90gn5V,PinkPantheress,https://open.spotify.com/artist/78rUTD7y6Cy67W1RVzYs7t,2023-06-15,123820,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Angelhood,https://open.spotify.com/track/2EnPtk4tNl2qj0Hzg1qeJs,Angelhood,https://open.spotify.com/album/5lx540ZgFCIotz9DmoHsQh,grandma,https://open.spotify.com/artist/2eYwIt8heUiqcnd0Tmkizk,2022-08-19,197920,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Anybody Else,https://open.spotify.com/track/5SR9WnrC9pGFfDld6xoil5,CITIZENS,https://open.spotify.com/album/3nh4uK04eRkHyrxIDWEfkp,Faouzia,https://open.spotify.com/artist/5NhgsV7qPWHZqYEMKzbYvo,2022-05-20,200985,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Anymore,https://open.spotify.com/track/0UYbhQk9tUzDeqjcsfDFRF,Anymore,https://open.spotify.com/album/78Q3dFiGFA9wZwpm9OSocq,YAZ,https://open.spotify.com/artist/6VvnLfGL8XDQomLEa91WPk,2022-08-05,150379,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Apartment Complex on the Eastside,https://open.spotify.com/track/2nm0J9sicQTiW8M8k2yZ4x,Apartment Complex on the Eastside,https://open.spotify.com/album/52bzMUfIaS9YeVADl51eoT,Dylan Fraser,https://open.spotify.com/artist/6Awp6fgyzqQ2XuEvOMjq8D,2022-04-15,247545,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Apple,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,BRAT,https://open.spotify.com/album/2lIZef4lzdvZkiiCzvPKj7,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,2024-07-23,151739,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Area Codes,https://open.spotify.com/track/7sliFe6W30tPBPh6dvZsIH,Area Codes,https://open.spotify.com/album/6uk3hBYbrMsSzufADPjv9K,Kaliii,https://open.spotify.com/artist/1YRqgFNXqRyMDRr8ClS1NL,2023-04-10,139325,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Arintintin,https://open.spotify.com/track/0gExQivfnTQxzD85envbyy,Arintintin,https://open.spotify.com/album/18WiTeK26yzhOpIYSHDA4T,"Rico Nasty, Boys Noize","https://open.spotify.com/artist/2OaHYHb2XcFPvqL3VsyPzU, https://open.spotify.com/artist/62k5LKMhymqlDNo2DWOvvv",2024-03-05,148525,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
Asphalt Meadows - Acoustic,https://open.spotify.com/track/0rIq5bmf5owV5LB8atmQTM,Asphalt Meadows (Acoustic),https://open.spotify.com/album/6hRYTGSMlOgLU4KxcHFMJK,Death Cab for Cutie,https://open.spotify.com/artist/0YrtvWJMgSdVrk3SfNjTbx,2023-03-10,249316,2022-06-10,"Atlantic Records Presents the hottest tracks in hip-hop, pop, rock, R&amp;B, indie and more! Updated every Friday.",Atlantic Records: Presents
