track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
ARA,https://open.spotify.com/track/0S2e8la8KZIIxzkzKcSIqZ,Lugar Paraíso (y el tuyo),https://open.spotify.com/album/3zWxatiogIL9Zawr4RIYxr,Nil Moliner,https://open.spotify.com/artist/6X8uzem5Dbl4l2so4CeexD,2024-04-28,186827,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Austin (Boots Stop Workin'),https://open.spotify.com/track/69wVo2cAAD7O9XSpSpTBAu,Austin (Boots Stop Workin'),https://open.spotify.com/album/2vMYYOd9u4IIb1VRXVhwDa,Dasha,https://open.spotify.com/artist/7Ez6lTtSMjMf2YSYpukP1I,2024-08-04,171782,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
BABY HELLO,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP,BABY HELLO,https://open.spotify.com/album/5KDgQ8sKzlThX02A5urLj0,"Rauw Alejandro, Bizarrap","https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq, https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36",2023-07-16,222461,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Bad Dreams,https://open.spotify.com/track/3nHuKdFJZm78CoeBnDcFKe,Bad Dreams,https://open.spotify.com/album/2VxQFEEnhwiV5LpMuHKViR,Teddy Swims,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,2024-11-10,184577,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Barcelona,https://open.spotify.com/track/2GE3k8I0Sbh0puCjI15KGy,Barcelona,https://open.spotify.com/album/34yBJhr8zlBAHMEMSwrISN,"Alan Walker, Ina Wroldsen","https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN, https://open.spotify.com/artist/7hssUdpvtY5oiARaUDgFZ3",2024-08-18,205086,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Beautiful Things,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,https://open.spotify.com/album/29aSKB1qPEbN0Qf9OPSQpw,Benson Boone,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET,2024-02-11,180304,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Believe (Shooting Stars),https://open.spotify.com/track/7fJdto9euM593wybpCdEPV,Believe (Shooting Stars),https://open.spotify.com/album/79WFgZm35smuyjipo6fouj,"R3HAB, Mufasa & Hypeman, Mufasa, RANI","https://open.spotify.com/artist/6cEuCEZu7PAE9ZSzLLc2oQ, https://open.spotify.com/artist/4L2dV3zY7RmkeiNO035Fi0, https://open.spotify.com/artist/23rdR5gsZI5BqncTEKLtDU, https://open.spotify.com/artist/3SYnDj7btg9gFY7ps8m5d5",2025-01-19,154285,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Belong Together,https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu,Belong Together,https://open.spotify.com/album/3PlCMwyq6nuQYtoYproV1o,Mark Ambor,https://open.spotify.com/artist/11p2E654TTU8e0nZWBR4AL,2024-06-09,148317,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
BIRDS OF A FEATHER,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,2024-09-08,210373,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
Boig X Tu,https://open.spotify.com/track/1ECjtBKeOS6rV7exnE5fYG,Sempre Joves x10,https://open.spotify.com/album/2CieTUcjWa7KsdEd8zyRWw,Flashy Ice Cream,https://open.spotify.com/artist/24yN33FZM27S4x4EJCFsjR,2024-07-14,188325,2024-03-06,La Llista amb els 45 èxits de Flaixbac. Actualitzada cada diumenge de 17 h a 21 h amb en Jordi Cuadras. Vota el pròxim número 1 de La Llista a la nostra web: https:&#x2F;&#x2F;flaixbac.cat&#x2F;la-llista,LA LLISTA DE FLAIXBAC (23/2/2025)
