track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Slut!"" (Taylor's Version) (From The Vault)",https://open.spotify.com/track/71BqAINEnezjQfxE4VuJfq,1989 (Taylor's Version),https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-03-04,180381,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
...Ready For It?,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,reputation,https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-05-09,208186,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
22 (Taylor's Version),https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP,Red (Taylor's Version),https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-05-09,230960,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
A Place in this World,https://open.spotify.com/track/73OX8GdpOeGzKC6OvGSbsv,Taylor Swift,https://open.spotify.com/album/7mzrIsaAjnXihW3InKjlC3,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-06-13,199200,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
Afterglow,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi,Lover,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-03-04,223293,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
All Of The Girls You Loved Before,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,https://open.spotify.com/album/1Uauz6ql2dIPvIOH4JiuhD,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-07-31,221407,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-05-09,613026,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
All You Had To Do Was Stay,https://open.spotify.com/track/0dAb8TY433dl3ZfXYCLE19,1989,https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-06-13,193293,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
All You Had To Do Was Stay (Taylor's Version),https://open.spotify.com/track/6GXgd1BPD9bUpqw5AntGV5,1989 (Taylor's Version),https://open.spotify.com/album/64LU4c1nfjz1t4VnGhagcg,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-10-27,193289,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
Anti-Hero,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,Midnights,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-05-09,200690,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
august,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,folklore,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-03-04,261922,2023-06-15,All the songs from the new setlist for Taylor Swift | The Eras Tour.,Taylor Swift | The Eras Tour Official Setlist
