track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
BOX,https://open.spotify.com/track/4I95uQMtIwg7779WEDy8Mc,DREAM( )SCAPE,https://open.spotify.com/album/2urIpiAu1CySTyyNuQQxcz,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-05-31,170360,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Boy Comics,https://open.spotify.com/track/50yqgMpBLVqqKJsSxcFfbE,Open ♭eta v6.1,https://open.spotify.com/album/4ek8IhAOKX6AVDPVsV6jEh,Xdinary Heroes,https://open.spotify.com/artist/1khChLj7REGqjM043PlYyn,2024-06-11,194784,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Boyfriend,https://open.spotify.com/track/7dk7jxKBun1JQ2pPPBxDYl,Cinderella at 2AM OST Part 4,https://open.spotify.com/album/6gmq8wZ2p5mFkg8DRyvZcE,YEONJUN,https://open.spotify.com/artist/2Mo2yHjmrDRZW7yRuJwR2w,2024-09-24,202516,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Break the Brake,https://open.spotify.com/track/35tFDNRthpr63bVGF7G8GB,Livelock,https://open.spotify.com/album/6wRy2dydFytIzBlEqVa5sh,Xdinary Heroes,https://open.spotify.com/artist/1khChLj7REGqjM043PlYyn,2024-02-20,200573,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Broken Melodies,https://open.spotify.com/track/5OehhztxLfJeCxUMbFfPy6,Broken Melodies,https://open.spotify.com/album/54rCRVcg8v1yA9MFCYol8W,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2023-12-11,226160,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Brought The Heat Back,https://open.spotify.com/track/3ivdlmTbUSv5JN9W8Tk9V1,ROMANCE : UNTOLD,https://open.spotify.com/album/05I8FltCMnGa3kE38mpOkL,ENHYPEN,https://open.spotify.com/artist/5t5FqBwTcgKTaWmfEbwQY9,2024-07-24,176424,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Bubble,https://open.spotify.com/track/4P5ozkI1bxiGxA5rZ27jlO,TEENFRESH,https://open.spotify.com/album/4P5wnRQTBnnjNbjt7A6S6x,STAYC,https://open.spotify.com/artist/01XYiBYaoMJcNhPokrg0l0,2023-12-11,179275,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Bubble Gum,https://open.spotify.com/track/19D8LNpWwIPpi6hs9BG7dq,How Sweet,https://open.spotify.com/album/0EhZEM4RRz0yioTgucDhJq,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2024-05-31,200266,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Can't Get You,https://open.spotify.com/track/5rQK8kcBmwVGuJqqzMJApQ,J - The 1st Album,https://open.spotify.com/album/1kQ1X0S06kqh4k2818bc5J,JAEHYUN,https://open.spotify.com/artist/0qQI2kmsvSe2ex9k94T5vu,2024-09-24,251146,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
CASE 143,https://open.spotify.com/track/3O8G8eVrhfXTGttyQ1xVuq,MAXIDENT,https://open.spotify.com/album/0T6hYH0UyDjNraWZk2mZWi,Stray Kids,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,2023-12-11,191964,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
