track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",https://open.spotify.com/track/5rurggqwwudn9clMdcchxT,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),https://open.spotify.com/album/1bwbZJ6khPJyVpOaqgKsoZ,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie","https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp, https://open.spotify.com/artist/1zNqQNIdeOUZHb8zbZRFMX, https://open.spotify.com/artist/7rkW85dBwwrJtlHRDkJDAC, https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I",2024-05-10,219453,2023-11-24,cookin&#x27;,Aish
Calm Down (with Selena Gomez),https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp,"Rema, Selena Gomez","https://open.spotify.com/artist/46pWGuE3dSwY3bMMXGBvVS, https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx",2023-06-11,239317,2023-11-24,cookin&#x27;,Aish
Choo Lo,https://open.spotify.com/track/2qgXrzJsry4KgYoJCpuaul,Aalas Ka Pedh,https://open.spotify.com/album/4U2xdJPJfGo2HofVpSynwO,The Local Train,https://open.spotify.com/artist/7b6Ui7JVaBDEfZB9k6nHL0,2023-06-11,233630,2023-11-24,cookin&#x27;,Aish
coffee shop cutie,https://open.spotify.com/track/5AHtQZvsKytFBmbR614YPA,if you're reading this ily,https://open.spotify.com/album/5WZFEyUjIgJL8iV04b9pwp,"fcj, Dummy Feelings","https://open.spotify.com/artist/1Nv875EklW8XLTduI6I3Js, https://open.spotify.com/artist/4wV6FfrhNSmApwXBHtbAHl",2023-06-10,137080,2023-11-24,cookin&#x27;,Aish
cold/mess,https://open.spotify.com/track/7uhINGViZPygI2AljxO8KN,cold/mess,https://open.spotify.com/album/6FzicG6wlKHogiRaGAbvBK,Prateek Kuhad,https://open.spotify.com/artist/0tC995Rfn9k2l7nqgCZsV7,2023-06-12,281218,2023-11-24,cookin&#x27;,Aish
Como Fuego,https://open.spotify.com/track/2P5yTW81eDsuMFV5waFRu7,Sol Y Lluvia,https://open.spotify.com/album/3nxxTapmbeRp3rFCtOzK44,Reyna Tropical,https://open.spotify.com/artist/7i6bx5ASeX99tjQYqahDXL,2023-06-11,184925,2023-11-24,cookin&#x27;,Aish
COMO UN BEBÉ,https://open.spotify.com/track/7knLcYCOSaURD0d7HUULFM,OASIS,https://open.spotify.com/album/6ylFfzx32ICw4L1A7YWNLN,"J Balvin, Bad Bunny, Mr Eazi","https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5, https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X, https://open.spotify.com/artist/4TAoP0f9OuWZUesao43xUW",2023-06-10,218826,2023-11-24,cookin&#x27;,Aish
couleur menthe à l'eau,https://open.spotify.com/track/2jAifF3EKOi3uI628cmKC0,uplifters,https://open.spotify.com/album/0afPcz0gfOOyLB3yffX7m9,Isaac Delusion,https://open.spotify.com/artist/2HGAZDmVV3GAH4XFAZdvSG,2023-06-10,212213,2023-11-24,cookin&#x27;,Aish
Crazy - DRKTMS Remix,https://open.spotify.com/track/5dzaVAQYKPNeTYskiuLsKg,Crazy: Remixes,https://open.spotify.com/album/51uQMP5Wjj6pvY62wweWmQ,"Cabu, Love Mansuy, DRKTMS","https://open.spotify.com/artist/44hPDOKyTwkFxOL08UzNQE, https://open.spotify.com/artist/2Z6VTMBnnuSQHmRyus3zbx, https://open.spotify.com/artist/3c8X2SneJNYd6zfs4YCpEJ",2023-06-12,242481,2023-11-24,cookin&#x27;,Aish
Day by Day,https://open.spotify.com/track/1iAtzizV90sFq9oXw4zONM,Day by Day,https://open.spotify.com/album/1g5s0gmdxuwtZP4qzt9APy,Fiji Blue,https://open.spotify.com/artist/1e7K8jD3wRuQfnwDAOeGqe,2023-06-10,177080,2023-11-24,cookin&#x27;,Aish
Dejavu,https://open.spotify.com/track/4WnUiUZyqIF7vP6S4wriKG,Dejavu,https://open.spotify.com/album/1HyDJJWmrJjfz1txHR17UF,Japa,https://open.spotify.com/artist/3455RNeKZ9giouA4pde2qA,2023-06-12,146165,2023-11-24,cookin&#x27;,Aish
Del Mar,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8,ENOC,https://open.spotify.com/album/69iuPQsXel3luOSDNF0q2Q,"Ozuna, Doja Cat, Sia","https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY, https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5, https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN",2023-06-10,214506,2023-11-24,cookin&#x27;,Aish
