track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(I Just) Died In Your Arms,https://open.spotify.com/track/0YPXkQthLWrhNGoKTbwCJ8,The Best Of Cutting Crew,https://open.spotify.com/album/6P6YSjfWz53suf41Bqt9BH,Cutting Crew,https://open.spotify.com/artist/3cniTumSiUysiPWXapGx1i,2022-05-18,278626,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
(I Just) Died In Your Arms,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm,Broadcast,https://open.spotify.com/album/3wCe8HjHk6QNGcf5D3jgW1,Cutting Crew,https://open.spotify.com/artist/3cniTumSiUysiPWXapGx1i,2024-08-01,280400,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Addicted To Love,https://open.spotify.com/track/5izGeTxueiFX1UPFGohY9w,Riptide,https://open.spotify.com/album/73bPiJRwVPkE8dpyCikfFd,"Robert Palmer, Eric 'ET' Thorngren","https://open.spotify.com/artist/530Sdm7eqqzWBdDmILMgnu, https://open.spotify.com/artist/0tO3KaRy0ZACd8XJYT3IX2",2024-05-20,363640,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Against The Wind,https://open.spotify.com/track/1SWmFiFSIBoDbQJjNKC7SR,Against The Wind,https://open.spotify.com/album/2Go2GZ8qMznHdAoLO1cG4W,Bob Seger,https://open.spotify.com/artist/485uL27bPomh29R4JmQehQ,2022-05-18,333720,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
All Night Long (All Night),https://open.spotify.com/track/7gaQtc0vrSpmRJpSMDiPEk,Can't Slow Down (Deluxe Edition),https://open.spotify.com/album/609oTPBaxPzZUCHzQikOtC,Lionel Richie,https://open.spotify.com/artist/3gMaNLQm7D9MornNILzdSl,2024-05-20,383440,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Alone,https://open.spotify.com/track/54b8qPFqYqIndfdxiLApea,Bad Animals,https://open.spotify.com/album/56dfEbntfVTMCxjrjggL1e,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2022-05-18,218733,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Always Something There to Remind Me,https://open.spotify.com/track/0KlJjhnfwAnPacNd7EH45J,Burning Bridges,https://open.spotify.com/album/6yRpzEmRaZbj1tFD0zYLe8,Naked Eyes,https://open.spotify.com/artist/3C6chBmZ9wzisBhoh8G2nK,2024-08-01,218933,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Always Something There To Remind Me,https://open.spotify.com/track/5L7zWiRiXDPNvTLLoXvIja,Love To Love,https://open.spotify.com/album/6AbPhbIJmobHvCx7yH8YM9,Naked Eyes,https://open.spotify.com/artist/3C6chBmZ9wzisBhoh8G2nK,2022-05-18,223266,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Another One Bites The Dust - Remastered 2011,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,The Game (Deluxe Remastered Version),https://open.spotify.com/album/6wPXUmYJ9mOWrKlLzZ5cCa,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2022-05-18,214653,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Another One Bites The Dust - Remastered 2011,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,The Game (2011 Remaster),https://open.spotify.com/album/58alCatewkjNm9IM1Ucj67,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2024-08-01,214653,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Bette Davis Eyes,https://open.spotify.com/track/0odIT9B9BvOCnXfS0e4lB5,Mistaken Identity,https://open.spotify.com/album/3iMwQk5yE0UDDKbLCdcxZA,Kim Carnes,https://open.spotify.com/artist/5PN2aHIvLEM98XIorsPMhE,2022-05-18,228000,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
Breakthru - Remastered 2011,https://open.spotify.com/track/5Nuxdf0f5PpaeaPm4jrhiE,The Miracle (2011 Remaster),https://open.spotify.com/album/3h6SV9wHJtNL1YswZUJs8V,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2024-08-01,248386,2022-06-10,"A classic playlist full of favorites of the 80s! Featuring hits from Queen, Tears For Fears, The Go-Go's and many many more!",80s Classic Hits | The Best of the 80s
