track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Back That Azz Up,https://open.spotify.com/track/6o2g1BJvtYQssH84kBYs7y,400 Degreez,https://open.spotify.com/album/6wpqS71CJr3I0dLguYiZdJ,"JUVENILE, Lil Wayne, Mannie Fresh","https://open.spotify.com/artist/0rG0AZBscc8S8q1ahIsasI, https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865, https://open.spotify.com/artist/0fbFfVckGKsDbAfYnB5mD1",2023-10-17,265600,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Bad Girls,https://open.spotify.com/track/6nzXkCBOhb2mxctNihOqbb,Matangi,https://open.spotify.com/album/3dAxXNscIj0p53lBMEziYR,M.I.A.,https://open.spotify.com/artist/0QJIPDAEDILuo8AIq3pMuU,2023-10-17,227520,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Be Happy,https://open.spotify.com/track/5X82VFLvjpeWQlTSShqqj0,My Life,https://open.spotify.com/album/1OQ5l5rHKqUumPpn559zJC,Mary J. Blige,https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr,2023-10-17,349560,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Be Without You - Kendu Mix,https://open.spotify.com/track/6Y3WvyUG9iE5bQYg38SPtQ,The Breakthrough,https://open.spotify.com/album/13HYuDhB1soZvHzwoymXoV,Mary J. Blige,https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr,2023-10-17,246333,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Beautiful,https://open.spotify.com/track/7FrJV8tydWEv1Mxu2mIQrm,Paid Tha Cost To Be Da Bo$$,https://open.spotify.com/album/7F9hfZKh6WLOKME4LwCPZI,"Snoop Dogg, Pharrell Williams, Charlie Wilson","https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG, https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8, https://open.spotify.com/artist/6CxZzQFUTM6AzgluGwtq5w",2023-10-17,298306,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
BedRock,https://open.spotify.com/track/3iL2l5gUqyPS6vDwJFgJTR,We Are Young Money,https://open.spotify.com/album/0hDy52fqKwb2ZIjyNXGxan,"Young Money, Lloyd","https://open.spotify.com/artist/5OrB6Jhhrl9y2PK0pSV4VP, https://open.spotify.com/artist/1Xfmvd48oOhEWkscWyEbh9",2023-10-17,288133,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
"Best Of Me, Part 2",https://open.spotify.com/track/1faidjbURmhACFeCjhxSu9,DJ Clue Presents: Backstage Mixtape (Music Inspired By The Film),https://open.spotify.com/album/0xZKr42eBz10QcSbFzuhzu,"Mýa, JAY-Z","https://open.spotify.com/artist/6lHL3ubAMgSasKjNqKb8HF, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB",2024-07-17,221426,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
Big Pimpin',https://open.spotify.com/track/7m97yKVzPpXV9Z4ezEziOD,Vol. 3... Life And Times Of S. Carter,https://open.spotify.com/album/3rWJsuu7ukoZZhp7YYkjNZ,"JAY-Z, UGK","https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/6ZhjJOJXXwnPS8PrXdmjLw",2023-10-17,283066,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
"Bitch, Don’t Kill My Vibe",https://open.spotify.com/track/712uvW1Vezq8WpQi38v2L9,"good kid, m.A.A.d city (Deluxe)",https://open.spotify.com/album/3DGQ1iZ9XKUQxAUWjfC34w,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2023-10-17,310720,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
California Love - Original Version,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35,Greatest Hits,https://open.spotify.com/album/1WBZyULtlANBKed7Zf9cDP,"2Pac, Roger, Dr. Dre","https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh, https://open.spotify.com/artist/3GMoVpWJy4smKuxFuFTwXC, https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7",2023-10-17,284906,2023-11-08,"The best Hip-Hop and R&amp;B from the 2000s! Includes Eminem, Dr. Dre, Jay-Z, Lil Wayne, Snoop, Mary J Blige, and more! Join our mailing list   <a href=""https://umusic.lnk.to/Spotify_2000HipHopRB_SignUp"">here</a>   to hear first about exclusive vinyl drops &amp; all the best new music.",2000s Hip-Hop/R&B
