track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
99 Problems,https://open.spotify.com/track/1vFVOr0psCHVWjjK2Jp298,The Hits Collection Volume One (Deluxe),https://open.spotify.com/album/4EOivv4vgGvUpxzkC3HrL9,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,2014-03-20,235466,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
All My Life,https://open.spotify.com/track/5vMDvp6nUnTYhl5NMpgOnL,ONE BY ONE,https://open.spotify.com/album/6mulYcpWRDAiv7KIouWvyP,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,2014-03-20,262733,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Ante Up (Robbin Hoodz Theory),https://open.spotify.com/track/1rrK53FJENK8B9sPXm9aqn,20 RAP GEMS,https://open.spotify.com/album/7kgXi2JtnSpL15OvYsJGae,M.O.P.,https://open.spotify.com/artist/1BH45DVSTeGBvcYXNCd67g,2014-03-20,249160,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
As We Enter,https://open.spotify.com/track/05Fxjq5GKH5uXjZqRhGP88,Distant Relatives,https://open.spotify.com/album/2Pd8vlnULF9gwrJqbLEvtH,"Nas & Damian ""Jr. Gong"" Marley",https://open.spotify.com/artist/3w2WYNyPCPkZFoC1EqfCMe,2014-03-20,147906,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
By The Grace Of God,https://open.spotify.com/track/5KpYYRnknZ4rKOk6NYLEjZ,By The Grace Of God,https://open.spotify.com/album/0MOkOOxmlsOxmo3hSTfCdy,The Hellacopters,https://open.spotify.com/artist/1lsXuaLnHnfL7GoJXKkUtH,2014-03-20,184640,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Dear Lover,https://open.spotify.com/track/7ueNGMnYBXIuuglH1A1wND,White Light White Heat White Trash,https://open.spotify.com/album/7GPvyPgZ8Nc4yqP4uPo3Rv,Social Distortion,https://open.spotify.com/artist/16nn7kCHPWIB6uK09GQCNI,2014-03-20,283333,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Digital Bath,https://open.spotify.com/track/2jSJm3Gv6GLxduWLenmjKS,White Pony,https://open.spotify.com/album/5LEXck3kfixFaA3CqVE7bC,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,2014-03-20,255373,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Dogwash,https://open.spotify.com/track/60X1qMczU9ncs7fj4AV0Oh,Powerhouse,https://open.spotify.com/album/74rACHOXzhVDX6c6a3TCn5,Mustasch,https://open.spotify.com/artist/7ig8pUnno95YNA9MclOveH,2014-03-20,185480,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Even Flow,https://open.spotify.com/track/7vPnlEkCGmYx2Eier8YBwc,Ten,https://open.spotify.com/album/31G5IKmrHwpPWGJYk3X2kI,Pearl Jam,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,2014-03-20,293666,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Everlong,https://open.spotify.com/track/6u47WBqEuowycc48t2Wekx,The Colour And The Shape,https://open.spotify.com/album/6t0KW8iHL9e8Q60nW5KYsR,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,2014-03-20,249773,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Full Clip,https://open.spotify.com/track/30oTS7bm0aH3p7lqjEIu8q,Full Clip: A Decade Of Gang Starr,https://open.spotify.com/album/0TMIeuykc2gfMc68YGppoh,Gang Starr,https://open.spotify.com/artist/5cMgGlA1xGyeAB2ctYlRdZ,2014-03-20,217440,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
God Save The Queen,https://open.spotify.com/track/2mHchPRtQWet3iIS3jANr1,"Never Mind The Bollocks, Here’s The Sex Pistols",https://open.spotify.com/album/6ggO3YVhyonYuFWUPBRyIv,Sex Pistols,https://open.spotify.com/artist/1u7kkVrr14iBvrpYnZILJR,2014-03-20,199453,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
Hash Pipe,https://open.spotify.com/track/29xKs5BAHlmlX1u4gzQAbJ,Weezer (Green Album),https://open.spotify.com/album/2hDiTEsKePTnDcvKEuLizk,Weezer,https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu,2014-03-20,186533,2021-12-21,"Want to go from 360s to 1080s or just get some extra heights in your airs. Then this list is for you! A mix of rock, hiphop and pop; The soundtrack to your mountain session IRL! ",Mountain Session
