track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
California (Cast Iron Soul) - Cabin Mix,https://open.spotify.com/track/2uzX5gPLKBe29EZQ8qZrfm,Utah,https://open.spotify.com/album/6ampZidxH8AtXdxEFoZVv7,Jamestown Revival,https://open.spotify.com/artist/4w1ZBtHF0HxrGqQdB7i1it,2016-08-19,329880,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Calvander,https://open.spotify.com/track/0b8spYgQ2INwOpDVfsUbNv,Calvander,https://open.spotify.com/album/3YLZPcixfb7gIehrX38a4Q,Mount Moriah,https://open.spotify.com/artist/0NIClyUOoNPl2GQouxBYH7,2016-08-19,217875,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Can't Have You,https://open.spotify.com/track/7sNkqP7ylWzQhBORf4qPpy,Can't Have You,https://open.spotify.com/album/2GhbUMSuNuORNwIjMWg6w3,Megan Bonnell,https://open.spotify.com/artist/3uaPF9Gy035X35lRxm1CXQ,2016-08-19,165225,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Cautionary Tale,https://open.spotify.com/track/1t8YqZ39FULc4mDQQnQ93n,Cautionary Tale,https://open.spotify.com/album/4FGG3XfmQXSnNCrbIgn6bR,Dylan LeBlanc,https://open.spotify.com/artist/60rNO7ymhlxcYxrdkDYq1k,2016-08-19,222920,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Chateau Lobby #4 (in C for Two Virgins),https://open.spotify.com/track/3EeCcArpbjFQw2SL7b5gJW,Chateau Lobby #4 (in C for Two Virgins),https://open.spotify.com/album/0OTlTLJLXcbhYOHioU33Kc,Father John Misty,https://open.spotify.com/artist/2kGBy2WHvF0VdZyqiVCkDT,2016-08-19,170840,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Coffee Cups,https://open.spotify.com/track/6VrcgnwQhDYDkIorD1ars5,The Way We Move,https://open.spotify.com/album/6BIZ0siUtYwDqrGSTIdxU7,"Langhorne Slim, The Law","https://open.spotify.com/artist/099toTcKJoywTosZr2hHjy, https://open.spotify.com/artist/6DK3E5dh7jJrKyAHfucWBB",2016-08-19,200240,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Come Pick Me Up,https://open.spotify.com/track/0lngUitwRDbvZ5yVO76dVN,Heartbreaker,https://open.spotify.com/album/7hmZCaBzp6mVrelxW6Ckrn,Ryan Adams,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,2016-08-19,318102,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Cover Me Up,https://open.spotify.com/track/5qW6ZYct54PhKliCntyxRX,Southeastern,https://open.spotify.com/album/1bg476ZQn7hmcXaU05SHV4,Jason Isbell,https://open.spotify.com/artist/3Q8wgwyVVv0z4UEh1HB0KY,2016-08-19,293973,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Darling,https://open.spotify.com/track/3MzZT2ttEQfWadY8O8eKSZ,Lovers,https://open.spotify.com/album/23TQgB8587uCbIK6U0e6jH,Albin Lee Meldau,https://open.spotify.com/artist/1AdKbbV5v6ifuJertEjNeK,2016-12-29,175704,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Deep Dark Below,https://open.spotify.com/track/4UT2LGBeSW7dRIiUPyYyrd,Down Fell the Doves,https://open.spotify.com/album/6DVHMSBPHdJ42Okvp5QJ9X,Amanda Shires,https://open.spotify.com/artist/5yN0nwLpUCaZ2gr67bndCN,2016-08-19,201560,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Distant Sures,https://open.spotify.com/track/6uBexmz61ckt5XQRqTgF3M,No Witch,https://open.spotify.com/album/5BzG2vtOh1sfHyPUfnWVXC,The Cave Singers,https://open.spotify.com/artist/4SjCvf9Ctuz369ZKAnjkZP,2016-08-19,191266,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Don't Believe in Stars,https://open.spotify.com/track/4wHEj9y4CMRoepUBIk4ukY,Don't Believe in Stars,https://open.spotify.com/album/5qwCWk9lhCWZpPfblcU8fO,Trent Dabbs,https://open.spotify.com/artist/6QFuGrftxjfONIARygYHIe,2016-08-19,289013,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Don't Carry It All,https://open.spotify.com/track/2UODQhPzz51lssoMPOlfy5,The King Is Dead,https://open.spotify.com/album/3hd8GiXOy4KUTxVDVUDT5F,The Decemberists,https://open.spotify.com/artist/7ITd48RbLVpUfheE7B86o2,2016-08-19,256560,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Don't Tell Our Friends About Me,https://open.spotify.com/track/5aO3PDi7cfVyqSbXSrSxfx,Don't Tell Our Friends About Me,https://open.spotify.com/album/5fIJInVxtBZVXsPHitxqs6,Blake Mills,https://open.spotify.com/artist/4LhV33vJvXmFGSM3m5RzUR,2016-08-19,319773,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Down By The Water,https://open.spotify.com/track/7IxWqdG1zG0gaAFYq2q0Iy,The King Is Dead,https://open.spotify.com/album/3hd8GiXOy4KUTxVDVUDT5F,The Decemberists,https://open.spotify.com/artist/7ITd48RbLVpUfheE7B86o2,2016-08-19,221853,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Dusty Trails,https://open.spotify.com/track/1J8XsaDbekfEP0vmyLcu7w,Good Grief,https://open.spotify.com/album/14bgLAop7Lgpk2U4VuDFDl,Lucius,https://open.spotify.com/artist/1WrqUPWlHN5FXCRcQgrkas,2016-08-19,264040,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Easy Way Out,https://open.spotify.com/track/2V6DAmBQMKUkXFw5rcbRF2,Cautionary Tale,https://open.spotify.com/album/7iXMplFdSUSWPl5ALrREZT,Dylan LeBlanc,https://open.spotify.com/artist/60rNO7ymhlxcYxrdkDYq1k,2016-08-19,279000,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Fond Farewell,https://open.spotify.com/track/31f9q4byZobQBzmjRjmW0y,Fond Farewell,https://open.spotify.com/album/65icghR7u260HEWB5rRThA,Seth Avett & Jessica Lea Mayfield,https://open.spotify.com/artist/5zVH7DKFtamUeGnLZHlPsW,2016-08-19,179346,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Fool,https://open.spotify.com/track/4VOsrn2DTiHZnXExFRRxVm,Fool,https://open.spotify.com/album/6UIVOL6gEqSNfuqjgxzjsG,Basia Bulat,https://open.spotify.com/artist/2iuqXpyyC67z6S2pq2m0gV,2016-08-19,163120,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Foolin',https://open.spotify.com/track/1gzEvwyyGhvjyMYgILIFOe,All These Dreams,https://open.spotify.com/album/2GZyBo8c4yu7EmWb6zNaUa,Andrew Combs,https://open.spotify.com/artist/4ONwFcI8RGvYMG1vEIdS11,2016-08-19,216600,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
For the Miner,https://open.spotify.com/track/4UjUUAuORKGitsE6yLax4e,Kid Face,https://open.spotify.com/album/66AEans8pbzt5PbtfPcJ0Q,Samantha Crain,https://open.spotify.com/artist/5dpLK5cD7FwWyDKv4qbodS,2016-08-19,313453,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Gimme Something Good,https://open.spotify.com/track/08aCW0RGOaR53En8g7e3HJ,Ryan Adams,https://open.spotify.com/album/5FV8d3DhSoArvwr0Qqgzq3,Ryan Adams,https://open.spotify.com/artist/2qc41rNTtdLK0tV3mJn2Pm,2016-08-19,234893,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Gold,https://open.spotify.com/track/3eZOQTxS41Ro1dZ6Fr0mqx,Wild,https://open.spotify.com/album/1IW55PmTsgO1cPv99CNQh9,Streets of Laredo,https://open.spotify.com/artist/4gzYX1gPVnAh5YB1MAo60t,2016-10-21,233560,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Good As Gold,https://open.spotify.com/track/4nTZmIdN7nxhfGTwJdyGvG,Apache Relay,https://open.spotify.com/album/239UV8PJLsEaJfcNM4T7rb,The Apache Relay,https://open.spotify.com/artist/62pBNClOEZJEyRXrzC2CtI,2016-08-19,221133,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Heart Of My Own,https://open.spotify.com/track/1mqk8DNti1zvdd1GY5quDS,Heart Of My Own,https://open.spotify.com/album/00VIGPygVKjYbWXfoOaqHa,Basia Bulat,https://open.spotify.com/artist/2iuqXpyyC67z6S2pq2m0gV,2016-08-19,229626,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Hell's Bells,https://open.spotify.com/track/5o2a1mjibu0Tb2qQaqh0b3,Gold and Rust,https://open.spotify.com/album/1i2UKFquAa9QjWi936r05T,Lauren Shera,https://open.spotify.com/artist/4BHgCTlgRJGkP54Ppwsz8R,2016-08-19,287613,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Hold On,https://open.spotify.com/track/23HxMVdUqSsWwar52dS4ZT,Boys & Girls,https://open.spotify.com/album/6EoJL3ty0FyE7XmLpAX2sj,Alabama Shakes,https://open.spotify.com/artist/16GcWuvvybAoaHr0NqT8Eh,2016-08-19,226186,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Hurtling Through,https://open.spotify.com/track/1oXckYh4y8LClxtU8giRPF,Hurtling Through,https://open.spotify.com/album/24ndjgtC6whhNVOIBA4KnY,"Tiny Ruins, Hamish Kilgour","https://open.spotify.com/artist/4G4W57CTe85hPEGZ6hJ0Du, https://open.spotify.com/artist/754spBmEBPBcB1E6fPeQmF",2016-08-19,197428,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
I And Love And You,https://open.spotify.com/track/7CEV9VwA8XO9wwxTXgYKvY,I And Love And You,https://open.spotify.com/album/2PPFtYUnnqMYflIEn3b7ON,The Avett Brothers,https://open.spotify.com/artist/196lKsA13K3keVXMDFK66q,2016-08-19,300840,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
I'll Never Love,https://open.spotify.com/track/6GVSdu24y9O1NA6DME7CkV,Love & Hate,https://open.spotify.com/album/0qxsfpy2VU0i4eDR9RTaAU,Michael Kiwanuka,https://open.spotify.com/artist/0bzfPKdbXL5ezYW2z3UGQj,2016-09-12,165986,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
I'm on Fire,https://open.spotify.com/track/5PerHLd1oGjFC1I7di3XI4,Dead Man’s Town: Springsteen’s Born in the U.S.A. Revisited,https://open.spotify.com/album/7A6nKqaTzblLroBw8UovWq,Low,https://open.spotify.com/artist/0wz0jO9anccPzH04N7FLBH,2016-08-19,182082,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
If I Go,https://open.spotify.com/track/6UfKha2TAX95dHfOx6muVV,If I Go,https://open.spotify.com/album/5M3HD7IDfnTJizPnshtJ0H,Jake McMullen,https://open.spotify.com/artist/0kBHkziT1rQpUBWW08p2dN,2016-08-19,237202,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Little Lover,https://open.spotify.com/track/7atukzwVcRwDfzTQwJTvKm,Sleeping Operator,https://open.spotify.com/album/3heNYqE1CUM8WlJGm6UPEj,The Barr Brothers,https://open.spotify.com/artist/4OyRutd80DZC22C4pl63l7,2016-08-19,290786,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Live And Die,https://open.spotify.com/track/19n9s9SfnLtwPEODqk8KCT,The Carpenter,https://open.spotify.com/album/4RclFqtNPoThUz7327xFbD,The Avett Brothers,https://open.spotify.com/artist/196lKsA13K3keVXMDFK66q,2016-08-19,271186,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Live Forever,https://open.spotify.com/track/64r9LJmUTSFxiK2Semj3ph,The Collection,https://open.spotify.com/album/3WequSBxJjxLL24Nvf3u0i,Drew Holcomb & The Neighbors,https://open.spotify.com/artist/4RwbDag6jWIYJnEGH6Wte9,2016-08-19,273120,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Living the Dream,https://open.spotify.com/track/2eD05M0sROqhQpkQJ9ze8x,Metamodern Sounds in Country Music,https://open.spotify.com/album/4makbOuLd5SUdyHMaNM1Ag,Sturgill Simpson,https://open.spotify.com/artist/3vDpQbGnzRbRVirXlfQagB,2016-08-19,231640,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Lone Pine Hill,https://open.spotify.com/track/19hGvBtydoOBAa9ay84uFz,The Good Life,https://open.spotify.com/album/2Hec3oBgmJBsEiuvcH12ff,Justin Townes Earle,https://open.spotify.com/artist/3znXuXT3xkCtjgOxXBBVnq,2016-08-19,183826,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Lost in the Light,https://open.spotify.com/track/0dzg4sUwhyFhNg3ft028ua,Lost in the Light,https://open.spotify.com/album/3WdE2It2WPPPnTzWOVaA0P,Quiet Life,https://open.spotify.com/artist/13MdjUqnWNyfY4qKYQ9OPl,2016-08-19,289333,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Love's On Fire,https://open.spotify.com/track/10yKbLrZLuksn8yL7PwSsA,All Or Nothin',https://open.spotify.com/album/1QKfsdpqt4YP8WdEKATNhU,Nikki Lane,https://open.spotify.com/artist/2kWeFaiHBskk8oqky3KHcR,2016-08-19,209626,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Lucia,https://open.spotify.com/track/7sxtXUyoGK6wAKIoPf49eG,Lateness of Dancers,https://open.spotify.com/album/5K7VYgm2UUdIdis8H3zMhA,Hiss Golden Messenger,https://open.spotify.com/artist/37eqxl8DyLd5sQN54wYJbE,2016-08-19,191333,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Luckiest Man,https://open.spotify.com/track/26uHwSHlaK5mskSMhbRod3,Ways Not To Lose,https://open.spotify.com/album/7hpun2BkR0F39r9iR9QM91,The Wood Brothers,https://open.spotify.com/artist/6FxuPrpa8phaP3Xn73emhT,2016-08-19,233666,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
Lungs,https://open.spotify.com/track/1p3ZBdx6XCXZEu7OoO0zW2,Live at the Old Quarter,https://open.spotify.com/album/2drUynocyGveMTFheprmJy,Townes Van Zandt,https://open.spotify.com/artist/3ZWab2LEVkNKiBPIClTwof,2016-08-19,154186,2021-12-21,Harmonicas &amp; slide guitars for the win. Chill out with some laid back roots &amp; Americana.,Take it Easy
