track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""هذا الحلو ""الدبكة هي الچوبي",https://open.spotify.com/track/47DMM1KiRfrqHw3YS7a9Dq,"""هذا الحلو ""الدبكة هي الچوبي",https://open.spotify.com/album/6Jxuxu3edECF9htilsdN3h,Myriam Fares,https://open.spotify.com/artist/1YnW3KicGQq3zD9LcdGJSh,2022-03-11,235909,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
3tter Hedita,https://open.spotify.com/track/0KUrNlvvXhRFNNOLxQXkES,3tter Hedita,https://open.spotify.com/album/40qBLwr6ZdWd6yzikRt5cT,Nabel Al Adeeb,https://open.spotify.com/artist/6ZCY8bwcZU2v4Ti9pAgLOi,2021-12-23,326263,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
7aya,https://open.spotify.com/track/21oCPr9IY0QBcbnVCYnPH9,7aya,https://open.spotify.com/album/6KCgOV58KccXLTUfJ7j9wW,Ali Jassim,https://open.spotify.com/artist/0sQhYPLQcT2qUZ5KV25WSe,2021-12-23,165442,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aalamiya,https://open.spotify.com/track/2sfGtyULy9LBSWeXrtsAIJ,Aalamiya,https://open.spotify.com/album/1IBOcEdlFIoCMjPdUZOXOX,Saif Nabeel,https://open.spotify.com/artist/2i8aIAYY0wCKbFYWiihztK,2021-12-23,188101,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aalnnha Rasmi,https://open.spotify.com/track/2uzCSwQxPhUA7lGoiH7WlG,Aalnnha Rasmi,https://open.spotify.com/album/0itHuCoAQ1XBt97SAfHiT5,Haitham Yousif,https://open.spotify.com/artist/0jPXHSYuneyrz1WOWZfpXT,2023-05-02,214615,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aash Al Iraq,https://open.spotify.com/track/053ueKG1li1W9dPxKPwcFp,Aash Al Iraq,https://open.spotify.com/album/23Y7MnkwtRpyeENSYl0roa,Rahma Riad,https://open.spotify.com/artist/1JrJQz0AlGYbLxBnOEWfLx,2023-01-10,216486,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Aayech Ayamy,https://open.spotify.com/track/7maMefhoGVAwyvvt68oCu6,Aayech Ayamy,https://open.spotify.com/album/342b6F79HuFY0WoJYlRXK0,Saoud Abu Sultan,https://open.spotify.com/artist/7iAGe2R8bmGpcepwjDvCuH,2023-02-02,209152,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Abn Al Khain,https://open.spotify.com/track/4fJR2YdREjWfxSYhx9CaC0,Abn Al Khain,https://open.spotify.com/album/1yJ54uNqTlz0UYzXEIFFYc,Ahmed Al Mazen,https://open.spotify.com/artist/1HXNShlKQdmZh5Ih6MtPH4,2021-12-23,202021,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Abous El Sodfa: Abous El Sodfa,https://open.spotify.com/track/5DGQSn4bSDfXpBBP9LhDya,Abous El Sodfa,https://open.spotify.com/album/3M2Q05YLGxIUPHVVet0dMX,Saif Nabeel,https://open.spotify.com/artist/2i8aIAYY0wCKbFYWiihztK,2022-12-29,233513,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
Abu Treychiya,https://open.spotify.com/track/5OhPIODPuDfwLsXcJVMk3O,Abu Treychiya,https://open.spotify.com/album/4ac5SPx2Swz8hyfYEug6Mj,"Mustafa Al-Abdullah, Ahmed Albasheer","https://open.spotify.com/artist/3hHA3JWJQfVAYx5lRTxSxu, https://open.spotify.com/artist/1JEeyaF0W5wWhKsWGynHtu",2024-02-21,230400,2021-12-28,أحدث الاغاني العراقية. غلاف: كاظم الساهر	,عراقي جديد
