track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Night To Remember,https://open.spotify.com/track/180AbZduI6bYQIzwCHRwu9,A Night To Remember,https://open.spotify.com/album/73wBVA41AulgjGiL3rBwfe,"beabadoobee, Laufey","https://open.spotify.com/artist/35l9BRT7MXmM8bv2WDQiyB, https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO",2023-10-23,233388,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
A Potion For Love,https://open.spotify.com/track/5mDvRgYQY8dJp8Oy1veESd,A Potion For Love,https://open.spotify.com/album/54RiYX8ONUdOOxerMzADqA,AURORA,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,2022-08-01,216426,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
A Quiet Voice,https://open.spotify.com/track/5bTWrzP0XXArAJTR26FMF3,A Quiet Voice,https://open.spotify.com/album/6HC0aY6PbUF2zSMMD31xSt,Rhye,https://open.spotify.com/artist/2AcUPzkVWo81vumdzeLLRN,2023-01-30,282812,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
a song from yesterday,https://open.spotify.com/track/1rIvV3vogPZDoEz4Ra0bei,a song from yesterday,https://open.spotify.com/album/6t3KlKXyY2FBWz3gKwcOx8,Forrest Nolan,https://open.spotify.com/artist/3M8UUCqb0mIEn5S2lO13yv,2022-11-21,198720,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
A Tender Curiosity,https://open.spotify.com/track/6RgiF90XarYltYe2arJwLo,Shaking Hips and Crashing Cars,https://open.spotify.com/album/2njNFU26P0YiMlqzO77SH5,The Royston Club,https://open.spotify.com/artist/5N5jf98OOEf3uAIJpi1deD,2023-06-04,182626,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Achieve,https://open.spotify.com/track/6nxHUthuBDeaojNDs9GFA3,Achieve,https://open.spotify.com/album/18mnZLbc2XhtkSaMrwGxWf,Prentiss,https://open.spotify.com/artist/0uzKt8lgkTlxm4OUWiCX3H,2023-08-13,199518,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Acrobatics,https://open.spotify.com/track/60o8hG5Y3wDYQuxRJFarqQ,Peach,https://open.spotify.com/album/5WIID0lQrxRT5xsXrOd0E5,Grace Gardner,https://open.spotify.com/artist/3yRBlQnEPNnucMU0lAaxCt,2023-03-06,228666,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
adore u,https://open.spotify.com/track/3YgtkOxZsTuaZdL8McA1FQ,adore u,https://open.spotify.com/album/7K3BWpksmH4L7BoqUdhZrL,"Fred again.., Obongjayar","https://open.spotify.com/artist/4oLeXFyACqeem2VImYeBFe, https://open.spotify.com/artist/6l7R1jntPahGxwJt7Tky8h",2023-11-08,220653,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Adore You - Acoustic,https://open.spotify.com/track/0JTjvbwGOoo7YIWlaAs03u,Adore You (Acoustic),https://open.spotify.com/album/2QvW21dkK5Wp3Od7DiHOZo,Bryant Barnes,https://open.spotify.com/artist/1URGXPcURc0aQzLeph65nK,2023-10-09,181250,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Aeroplane,https://open.spotify.com/track/6NP20YblWLZMnG5YSoL1Tm,Aeroplane,https://open.spotify.com/album/1ktPfnZAzUcMGpuHxgs3RF,Frou Frou,https://open.spotify.com/artist/6MUyqmIQ35inLjch0YzIEG,2025-02-21,260346,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
