track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2Am,https://open.spotify.com/track/285mb5pHHFLYR8LFWOE8ov,Stimulate The Stars,https://open.spotify.com/album/5ikKzPq0MLcsiV21QWywGx,Veeshy,https://open.spotify.com/artist/4I9gvXHCMWMzarL8yOyjIL,2021-09-02,434000,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
A Day At The Beach,https://open.spotify.com/track/76i1fwdq0ffQ71KuhTNJgO,Silk Music Pres. Trance Treasures 06,https://open.spotify.com/album/3ZtUSUzGhMno1ylQmZ1JQi,Talamanca,https://open.spotify.com/artist/6T10DjLBN7wT5gtnPnhmEk,2019-07-05,527013,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
A Love That's Hard To Find - Swung Club Mix,https://open.spotify.com/track/75yjbBYF5SV9UqLBiLn3WG,A Love That's Hard To Find,https://open.spotify.com/album/0uHlUsS7W0B61Dwl2QmuHk,Chicane,https://open.spotify.com/artist/5GxyeQagayzZOg4UwffQlD,2021-03-23,230013,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Ararat - Sam Davies Remix,https://open.spotify.com/track/34bbmP1NAHml4bF23WDIz6,Only Silk 04,https://open.spotify.com/album/2KcbzOFjjM1ErTXWTdDvkO,"Gregory Esayan, Sam Davies","https://open.spotify.com/artist/1EOqDTixfAxQjvX2uAuvMy, https://open.spotify.com/artist/5fDK1GwOEyKqCjg7F9IiyG",2021-03-23,311042,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Atami,https://open.spotify.com/track/29WoQT4qjUMLTovZVPNwle,Atami,https://open.spotify.com/album/45q746X1SBTkUXqUkkJSPb,"Shingo Nakamura, Masanori Yasuda, TACT TOKYO","https://open.spotify.com/artist/58zz0VTpGNHn7MGTlW2cxQ, https://open.spotify.com/artist/4t7SDTU2q6zEFW2Ecs9sNB, https://open.spotify.com/artist/65mp3d4qkueCz4K882g7BW",2021-09-02,368203,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Azure - Roald Velden Remix,https://open.spotify.com/track/5SFE9nLsTSZi0rPPdF9rBj,Azure,https://open.spotify.com/album/5rvsbHe2WSn0FOwE7BCswB,"Japeboy, Roald Velden","https://open.spotify.com/artist/4RuPokVKSl4vK1skbGONyJ, https://open.spotify.com/artist/1ezY8w6yikBekrZCUVYkLP",2023-03-04,572908,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Billion Stars,https://open.spotify.com/track/4xcRyEWsJ959FPBXBzJ4Sp,Nowhere,https://open.spotify.com/album/540jX1jXLiiThtaWfAC8ti,"Roald Velden, South Pole","https://open.spotify.com/artist/1ezY8w6yikBekrZCUVYkLP, https://open.spotify.com/artist/3vNPCpgA6iJvFoWQfP3Fli",2021-03-23,458852,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Black Hole - Original Mix,https://open.spotify.com/track/5ysAQ68P78SBLdVwS29wZd,Black Hole,https://open.spotify.com/album/2YeK30xFtdUbts875MttP7,Vasily Goodkov,https://open.spotify.com/artist/1oNOLGoVzt5vypyhplILbL,2021-04-12,360000,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Calm Before the Storm,https://open.spotify.com/track/7dy1TqXaZhgjFLewy49Rh9,A Dark Forest,https://open.spotify.com/album/7HTA0qF60vVwgP2Zd29dpm,Katrin Souza,https://open.spotify.com/artist/6MIjBHPbfQsN2BP72arjSf,2021-03-23,400062,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
Cast Away - Club Mix,https://open.spotify.com/track/7skYxp5gHTNeuDYYkllFaQ,Silk Royal pres. Sundriver 01,https://open.spotify.com/album/0iCV7dsyASuWlRaRykYTLs,Sundriver,https://open.spotify.com/artist/3OKbvWLskv2IPnpFiL1BRr,2021-03-23,508000,2023-02-23,"Melodic Progressive, Progressive House and Vocal Trance. Selections from Chris Lyons DJ&#x27;s &quot;Riding The Soundwave&quot; webradio show.",Riding the Soundwave: the playlist
