track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
At Night,https://open.spotify.com/track/4BiLpvhNDqeRPo065ZMCqB,Crash Course in Romance OST Part 4,https://open.spotify.com/album/460aXMPaEyerh9lPpwsxCn,GIRIBOY,https://open.spotify.com/artist/2MtHuR0W2idZdF7x4wddqq,2024-03-08,172361,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
BBIBBI,https://open.spotify.com/track/4as4XEOR03oGm1STUKl6pa,BBIBBI,https://open.spotify.com/album/4ghBzVOTFoeKPPmyNKjVtI,IU,https://open.spotify.com/artist/3HqSLMAZ3g3d5poNaI7GOU,2023-11-03,194426,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
be,https://open.spotify.com/track/2ixTL8BqsPxaH9qPgEhFV1,be,https://open.spotify.com/album/33UNyWkPMOczcDOk4kxWd2,EUNHYUK,https://open.spotify.com/artist/4QRqp8zf5JtqaMk2OOU3NX,2023-11-03,229066,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
be like YOU,https://open.spotify.com/track/2OpFlqsiJHetPoNMWpHJhE,be like YOU,https://open.spotify.com/album/4DvrkrGMiV3rl5GaoskeG8,JUNGSOOMIN,https://open.spotify.com/artist/5e907QyP66bLqY6UiT2sXc,2024-05-27,154173,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Be with me,https://open.spotify.com/track/3hJqHWHOnUabXbbDym1HrI,Beloved,https://open.spotify.com/album/3BYnEzSiJP33hiJE3JrTpu,SORAN,https://open.spotify.com/artist/7eZGd0sv1TxpOwzyKc9P4R,2024-03-27,277653,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Be Your Love,https://open.spotify.com/track/7nNdcIrE2rIybmnLdvjgBA,"Strong Girl Nam-soon (Original Television Soundtrack), Pt.2",https://open.spotify.com/album/52RD1LIAFhL4YrqrMxUpXN,Junggigo,https://open.spotify.com/artist/6zTIxEXFWjoNu2VXauDITb,2023-11-03,192133,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Beautiful Day,https://open.spotify.com/track/1E9fF3CfKjBsCGnWWysk3w,Beautiful Day,https://open.spotify.com/album/4nuZ991ZDYu4dP5dguWHHq,NavyQuokka,https://open.spotify.com/artist/0NboRG7IHfknCcdBSdIrxW,2024-03-08,209133,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Beautiful Restriction,https://open.spotify.com/track/7CHDUDw89DCR8vvI0yTXGa,A Time Called You (Original Soundtrack from the Netflix Series),https://open.spotify.com/album/5qHH0SHWf5yQxG4yqHnIzY,NewJeans,https://open.spotify.com/artist/6HvZYsbFfjnjFrWF950C9d,2023-11-03,232453,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
BENCH (with Zion.T),https://open.spotify.com/track/52nOiyRgQ7B7N7FjXhCCgz,NEXT EPISODE,https://open.spotify.com/album/0Pt0eGpyNO5dDN8PORypSy,"AKMU, Zion.T","https://open.spotify.com/artist/6OwKE9Ez6ALxpTaKcT5ayv, https://open.spotify.com/artist/5HenzRvMtSrgtvU16XAoby",2024-03-08,225295,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
Blue Lemonade,https://open.spotify.com/track/22Q2ZddeCMNPaZDdDBgQz9,BLUE,https://open.spotify.com/album/5fmyoK440WPucUxXAQ3pyO,Mingturn,https://open.spotify.com/artist/0xHmY83PIAUorqr3HJVyVh,2024-09-04,208780,2023-11-04,듣고만 있어도 행복한 노래들과 더더욱 행복하세요 ;),행복을 드려요 (K-Pop Happy Songs)
