track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Cardboard Box,https://open.spotify.com/track/2rf9i0Enr8cw1JRME8Rsvq,Cardboard Box,https://open.spotify.com/album/51OgsspyNulg111Dti5Sdj,FLO,https://open.spotify.com/artist/0s4kXsjYeH0S1xRyVGN4NO,2022-09-24,161366,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Cecilia,https://open.spotify.com/track/6lv0jvUtxx4j3LWxFXwBeh,Greatest Hits,https://open.spotify.com/album/61IDkG0LOqNIcedyJ2b3cx,Simon & Garfunkel,https://open.spotify.com/artist/70cRZdQywnSFp9pnc2WTCE,2023-12-11,173560,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Come On Eileen,https://open.spotify.com/track/3MrWxJaD2AT0W9DjWF64Vm,Too Rye Ay,https://open.spotify.com/album/7nCWzcMZanUBPZgZaKpzM6,Dexys Midnight Runners,https://open.spotify.com/artist/4QTVePrFu1xuGM9K0kNXkk,2023-12-11,287306,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Come Over (Remix),https://open.spotify.com/track/5RBc2SUllAJG4gUZdXTBIj,Come Over (Remix),https://open.spotify.com/album/4RhemXpQlqhaNdz2WTkzBt,"Jorja Smith, OBOY","https://open.spotify.com/artist/1CoZyIx7UvdxT5c8UkMzHd, https://open.spotify.com/artist/66Ok6bgC570sHkw08N20pZ",2022-06-09,145652,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Come See About Me,https://open.spotify.com/track/307kcWJQNMdiYYKj1LgClU,Where Did Our Love Go,https://open.spotify.com/album/05pI1Rx1HQ4KA0a0e3PJlV,The Supremes,https://open.spotify.com/artist/57bUPid8xztkieZfS7OlEV,2023-12-11,163093,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Coming Down,https://open.spotify.com/track/4QzEQf6b1RvlVtrqDEcfvB,Trilogy,https://open.spotify.com/album/4NQNWfXDGo6MPCscpwuTgz,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2023-05-22,295853,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Coming Down (with Ari Lennox),https://open.spotify.com/track/3p2HpO3ZgvFs97L15hGZOn,D-Day: A Gangsta Grillz Mixtape,https://open.spotify.com/album/3tFjhFPqGhhLrCULnPu7Wy,"Dreamville, Ari Lennox","https://open.spotify.com/artist/1iNqsUDUraNWrj00bqssQG, https://open.spotify.com/artist/1vaQ6v3pOFxAIrFoPrAcom",2022-06-09,156943,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
CUFF IT - WETTER REMIX,https://open.spotify.com/track/7eQpbVg3tjHmtdOlAHxaTr,CUFF IT,https://open.spotify.com/album/7BJjZgzGzpll0t8CEzjILs,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2023-02-27,249406,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
Dancing With Myself,https://open.spotify.com/track/1BY1Vd2Bt6JPOhMvsIwtVv,Vital Idol,https://open.spotify.com/album/2PSsUGkAAAnBmUUSNBU6se,Billy Idol,https://open.spotify.com/artist/7lzordPuZEXxwt9aoVZYmG,2023-12-11,359733,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
"December, 1963 (Oh What a Night!)",https://open.spotify.com/track/1hQFF33xi8ruavZNyovtUN,Who Loves You,https://open.spotify.com/album/7fbHVufa1ZvEWWpDppEXHU,Frankie Valli & The Four Seasons,https://open.spotify.com/artist/6mcrZQmgzFGRWf7C0SObou,2023-12-11,197146,2022-06-10,"Channel your inner chef and cook up a storm with our essential kitchen tracks. <a href=""https://lnk.to/EndOfYearSaleOS"">All these hits available to buy on vinyl here!</a> Kitchen Soundtrack | Cooking Music | Restaurant Music | Kitchen DJ",Songs to Cook to | Kitchen Soundtrack 
