track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Albino,https://open.spotify.com/track/1BOefWooPtkKRPT22f4Kn6,Adagio,https://open.spotify.com/album/5qTqHhnltT1ng3GtuCPPI3,"深海イオ, Dj Grimoire","https://open.spotify.com/artist/0opH2xuLJRAFqbfyeSTpl6, https://open.spotify.com/artist/655GDEk9neFcTfkwrSOb2j",2021-01-03,328010,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Alice In Voodooland feat.Aikapin,https://open.spotify.com/track/6YvFZVZXQ6zNno648UAgUZ,ALICE IN VOODOOLAND,https://open.spotify.com/album/231AeotAakmnCpgRpAqiNP,"RoughSketch, Aikapin","https://open.spotify.com/artist/0lYM4mCc6IhbmfGYpeNCyO, https://open.spotify.com/artist/76eHPsoHfG6r4L66SLcEOy",2020-01-17,297000,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
ANCIENT,https://open.spotify.com/track/5NeC8B6fsU5Bi5Oc6GS9Ub,The Best of Japanese Stream Hardcore,https://open.spotify.com/album/5uvGy8DZNQu6S3t03Zx614,"DJ Myosuke, chitamo","https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG, https://open.spotify.com/artist/3LgnVkx4dRF5maLobjTcvs",2019-10-04,314333,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
ANGEL VOICES,https://open.spotify.com/track/69urju2iS7zKGTxNVLYt5D,ANGEL VOICES,https://open.spotify.com/album/3BbIIKqZ8i3NJEDw4dHBr5,Virtual Self,https://open.spotify.com/artist/0F52YLV7uWqaJfMMDgG737,2020-05-06,392259,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Angerstomp feat. DD''ナカタ''Metal,https://open.spotify.com/track/4xWtFl1WvVrimazkNPwwzi,Stomp The Coward!! 2,https://open.spotify.com/album/0yiW2PmdaRL6tSJrv5yrC3,"Liqo, DD""Nakata""Metal","https://open.spotify.com/artist/2i9ewCG0IWGx2HYsmsPfB4, https://open.spotify.com/artist/67yPOS6IY1ZVzFX8kYmNPc",2019-09-13,311000,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Animosity,https://open.spotify.com/track/6whpTTA7a1MJapQZc6L5Z1,Afflict,https://open.spotify.com/album/4VRqPxSKCkDs7ILIA11Be5,Laur,https://open.spotify.com/artist/5fxJUmn4RTMzD0XPkTUpK3,2021-11-24,155142,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Animosity - Extended,https://open.spotify.com/track/2poEocGMudEhHSpirMdaa5,Afflict,https://open.spotify.com/album/4VRqPxSKCkDs7ILIA11Be5,Laur,https://open.spotify.com/artist/5fxJUmn4RTMzD0XPkTUpK3,2022-11-11,252571,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Annabel,https://open.spotify.com/track/0P4a6HoBjjki7mJcdj2tog,Invitation to the Fallen 2,https://open.spotify.com/album/2v5vnkf70VSNJjfKCn1btL,nnn,https://open.spotify.com/artist/1QoQ8pInqGvagcOXK3XHOX,2020-10-16,348003,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Answer,https://open.spotify.com/track/6ydEF7JX5uc8Ltgk7CJwim,SOLIDCORE VIII,https://open.spotify.com/album/0zM6Fqm9QpkbyPd5lkFR4u,S.O.T.,https://open.spotify.com/artist/5GU65WWeY03bpaNz3vUYaf,2019-02-15,328015,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Anubis - Remaster,https://open.spotify.com/track/55vXEvP0wxPkou4nfxVtPn,Rhyming Sun -Hommarju Side-,https://open.spotify.com/album/5CtrLjnq2QZyvPFBVFNHOG,"Hommarju, RoughSketch","https://open.spotify.com/artist/76V0LQ9DlR2N5tcn0ZworW, https://open.spotify.com/artist/0lYM4mCc6IhbmfGYpeNCyO",2020-03-06,291021,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Anusaya,https://open.spotify.com/track/602CXFWiD9eBGHrNQZFxua,Japanese Stream Hardcore X,https://open.spotify.com/album/60tdqDTmkzhRjpYZEiHtWg,QUIL,https://open.spotify.com/artist/3Q6X5VDF0Zfu1hGHTEARSR,2019-06-01,257693,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Apex Predator,https://open.spotify.com/track/5iaGhO4aigyEst9ubCnXCR,REVELATION OF HARDGATE,https://open.spotify.com/album/5YlJ5hw515QtH9knAi5Yed,6th,https://open.spotify.com/artist/1OC1dqSbe6zNiv0NBtODX1,2020-03-21,240333,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Apocalypse Simulator,https://open.spotify.com/track/5oi7y2ExMrsejWiyTIFLwL,HARDCORE SYNDROME 14,https://open.spotify.com/album/0kErHEeF6I9gufV6WPrfY3,Kobaryo,https://open.spotify.com/artist/1Y81Ch90opScfpMfN17lZb,2020-08-19,234963,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Arcana Eden,https://open.spotify.com/track/2aX1dyKBge737hcxkJxlAH,Arcana Eden,https://open.spotify.com/album/7yWm3CB0LBRdAFPEh3xpjP,"Laur, Team Grimoire, Sakuzyo","https://open.spotify.com/artist/5fxJUmn4RTMzD0XPkTUpK3, https://open.spotify.com/artist/3JL2xJoZQDP7NjNiEmVpfa, https://open.spotify.com/artist/53BVcGSlpWPF7iYsSN0Oe1",2022-07-15,182274,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Arcana Eden - Extended by Laur,https://open.spotify.com/track/1QBan8wxm2xL1RXE7sh7Bp,Memoria,https://open.spotify.com/album/08ZEmSS3hUv0o9gxOXJJFJ,"Laur, Team Grimoire, Sakuzyo","https://open.spotify.com/artist/5fxJUmn4RTMzD0XPkTUpK3, https://open.spotify.com/artist/3JL2xJoZQDP7NjNiEmVpfa, https://open.spotify.com/artist/53BVcGSlpWPF7iYsSN0Oe1",2023-01-13,249952,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
ARMA,https://open.spotify.com/track/2vkgsXq2Db4PqZx8eLI5Zv,OVERHEAT,https://open.spotify.com/album/2VRH44lzNZK9sUikj2OXJ8,"Massive New Krew, Laur","https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN, https://open.spotify.com/artist/1H0mSnlUaHZjaCQuflOqzu",2021-08-13,202500,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Artificial Society,https://open.spotify.com/track/4LHOg5NibdRZjNjrqYDXTU,Japanese Stream Hardcore X,https://open.spotify.com/album/60tdqDTmkzhRjpYZEiHtWg,6th,https://open.spotify.com/artist/1OC1dqSbe6zNiv0NBtODX1,2019-06-01,266000,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
As One [feat. Yukacco] - Roughsketch Remix,https://open.spotify.com/track/27TDpLCSUo9kPfJjLmPPRr,Hardcore United Tokyo,https://open.spotify.com/album/5ozcHhBmoMJcrYFp48sm7C,"The 4th, Yukacco","https://open.spotify.com/artist/1u0ZNPu4omxap35i9xnFdb, https://open.spotify.com/artist/4zu3DQyVnu3BnzErDmPULM",2020-04-07,301663,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Ascend the Scheol,https://open.spotify.com/track/180pFzsFX8RJKYDtGc6tUO,Invitation to the Fallen 2,https://open.spotify.com/album/2v5vnkf70VSNJjfKCn1btL,kanoryo,https://open.spotify.com/artist/6nFyBgKgu44RIgJEzLxWwr,2020-10-16,312007,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Ashigaru,https://open.spotify.com/track/46T4sJMbiIX8JO618O4Rkp,Mystery Blend,https://open.spotify.com/album/6IZbRS9q3P0ccTPPiD4fbT,USAO,https://open.spotify.com/artist/25iPl8VJFDu38JMFF6uMXI,2019-09-13,292779,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Ashigaru,https://open.spotify.com/track/4NmKqlECL06neACuwSWXLg,Mystery Blend,https://open.spotify.com/album/10XI0e1IZSYj1hEXLVnG2V,USAO,https://open.spotify.com/artist/25iPl8VJFDu38JMFF6uMXI,2023-01-13,292779,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Association,https://open.spotify.com/track/3R3TcJoVDWDWrQnTpppHrH,Association,https://open.spotify.com/album/0b2EpyMTEpP3sXmQjS2EME,Massive New Krew,https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN,2022-05-21,370866,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
ATAMA WARUI,https://open.spotify.com/track/5oSgXXvC6HM2HGsi3b2ZL8,HARDCORE SYNDROME 14,https://open.spotify.com/album/0kErHEeF6I9gufV6WPrfY3,Laur,https://open.spotify.com/artist/5fxJUmn4RTMzD0XPkTUpK3,2020-08-19,200180,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Avalanche,https://open.spotify.com/track/4CexYDRQsAWF8somtg2JFb,The Far East Hard Session,https://open.spotify.com/album/0ycwBDwDuhW2mjwtoBGbXv,QUIL,https://open.spotify.com/artist/3Q6X5VDF0Zfu1hGHTEARSR,2019-05-03,274000,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
B.A.B.Y.L.O.N,https://open.spotify.com/track/0uxultM0frsLPo5EM8ZCfV,Break Out Black,https://open.spotify.com/album/19itekbCskAsTR4uo2Jty8,Massive New Krew,https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN,2019-02-03,213400,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
BACK COVER,https://open.spotify.com/track/0FXmeFkw4Ppw0cYL3ea2u2,Kick's For Liberation 7,https://open.spotify.com/album/5xOr34N3SqxVt3Yh8LjQ8D,USAO,https://open.spotify.com/artist/25iPl8VJFDu38JMFF6uMXI,2020-08-19,345991,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Back on fear,https://open.spotify.com/track/65V32OFV3C8yrOJI0zjm4O,HARDCORE SYNDROME 5,https://open.spotify.com/album/3nD0NLFmi02hHA5qEWCyi3,Teranoid,https://open.spotify.com/artist/2MiQFnpoHKu41t5OhyniDv,2019-02-25,310520,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Back To The Source (EDIT),https://open.spotify.com/track/2iN2AxZyHupqPCu37zMUwo,VIOLENCE IN THE HOSPITAL,https://open.spotify.com/album/5g4JgIVr9mKlWCmSuPypo3,RoughSketch,https://open.spotify.com/artist/0lYM4mCc6IhbmfGYpeNCyO,2019-11-29,210000,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Back With A Vengeance - Remain Silent Remix,https://open.spotify.com/track/0FrJ9YL6MMJWDROZdOQcLq,Prophet of Doom,https://open.spotify.com/album/5VNlFNgoyCVjXqHTqzrQbl,"6th, Remain Silent","https://open.spotify.com/artist/1OC1dqSbe6zNiv0NBtODX1, https://open.spotify.com/artist/5pmwcvJqiHZ9ZaaFkK5YEo",2019-07-24,295286,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
BAMBOO SPEAR,https://open.spotify.com/track/2MRKktZPRt5FfJ0sfYFHNA,BAMBOO SPEAR,https://open.spotify.com/album/6lUVLJjZvWxe3Hbv4awJpZ,TOKYO BURST PROJECT,https://open.spotify.com/artist/6as4D9YMg3oARLBH6GYhT7,2020-04-07,242700,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Banjul,https://open.spotify.com/track/5cCmcjFC1aOH7OYRjNNsBd,OVERHEAT,https://open.spotify.com/album/2VRH44lzNZK9sUikj2OXJ8,Massive New Krew,https://open.spotify.com/artist/1D3hV1Gke8LLRSn1aymglN,2021-08-13,139161,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
Bat de Spinning to Goal,https://open.spotify.com/track/0aoZ0Z9bqyZlGuh8IDwuSq,FREAKIN SOUNDS Vol.7,https://open.spotify.com/album/0QVhLzZYylfWEWtHym0dx4,DJ Myosuke,https://open.spotify.com/artist/0GsEX8wr2fhu19PIwQh1oG,2019-06-01,214466,2023-10-10,Western orientated Hardcore Music by Japanese Artists,Japanese Hardstyle/Hardcore | J-Core | WeebCore |
