track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Best Day Of My Life - Gazzo Remix,https://open.spotify.com/track/1eiXLANaZCSKIfDmwTorg5,Best Day Of My Life (Gazzo Remix),https://open.spotify.com/album/68A4hh0NUuBib9xhCqG6ec,American Authors,https://open.spotify.com/artist/0MlOPi3zIDMVrfA9R04Fe3,2014-11-20,197760,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Blame (feat. John Newman),https://open.spotify.com/track/07nH4ifBxUB4lZcsf44Brn,Motion,https://open.spotify.com/album/48zisMeiXniWLzOQghbPqS,"Calvin Harris, John Newman","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY, https://open.spotify.com/artist/34v5MVKeQnIo0CWYMbbrPf",2014-11-20,212960,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Bonfire Heart,https://open.spotify.com/track/13ETkZ90sElK5xJuB4cUEt,Moon Landing (Deluxe Edition),https://open.spotify.com/album/7jhq3af9OdntUnKuNxbVfG,James Blunt,https://open.spotify.com/artist/7KMqksf0UMdyA0UCf4R3ux,2014-11-20,238000,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Boom Clap,https://open.spotify.com/track/63bniwRWWFGoasyhX2eQHJ,Boom Clap,https://open.spotify.com/album/5FfbtnqTQjMYjqphXDUoYG,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,2014-11-20,169293,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Break Free,https://open.spotify.com/track/1T7Htpf1kEvU9Adf8J0ekk,My Everything (Deluxe),https://open.spotify.com/album/5AMOKSM1ftb3opIbGT2d4q,"Ariana Grande, Zedd","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR, https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq",2014-11-20,214840,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Bröder,https://open.spotify.com/track/1TZtXdQwnbk1jOXnfyShRb,Bröder,https://open.spotify.com/album/2hrRZ83Gdf4vwLHBff6CuO,Linus Svenning,https://open.spotify.com/artist/5NMwwvYHzJ9ItOWj8Xgth8,2014-11-20,183426,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Burn,https://open.spotify.com/track/0xMd5bcWTbyXS7wPrBtZA6,Halcyon Days,https://open.spotify.com/album/3KVeczHxWg5YFKb0gS62f2,Ellie Goulding,https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ,2014-11-20,231211,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Busy Doin' Nothin',https://open.spotify.com/track/16PCNO5WUWQQJXnj0ySn3O,Busy Doin' Nothin',https://open.spotify.com/album/2NdQ2F8w9NMdtK3uJhXq6d,Ace Wilder,https://open.spotify.com/artist/7F4HcalxCMC4DctguvnoFY,2014-11-20,173346,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Can't Hold Us (feat. Ray Dalton),https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,The Heist,https://open.spotify.com/album/76FXHQhTuT4QMIxfL09gX8,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","https://open.spotify.com/artist/3JhNCzhSMTxs9WLGJJxWOY, https://open.spotify.com/artist/4myTppRgh0rojLxx8RycOp, https://open.spotify.com/artist/6WLvgbfYXQPO396oJEYCsi, https://open.spotify.com/artist/4e0nWw2r4BoQSKPQ2zpU13",2014-11-20,258342,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Can't Remember to Forget You,https://open.spotify.com/track/4Uc6BcPeBKfZUlX6jhumGv,Shakira. (Deluxe Version),https://open.spotify.com/album/3pIrfgAYjBpTBBKgtrwKgZ,"Shakira, Rihanna","https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp, https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H",2014-11-20,206866,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
