track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
In the morning,https://open.spotify.com/track/1Wcr8zrKqbUX0zwN8Dbr16,GUESS WHO,https://open.spotify.com/album/4lS8nhX8cplsYPzKjvhw6G,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,172373,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
IT'z SUMMER,https://open.spotify.com/track/1F3q83uRQ1aO9LmaEUzYox,IT'z ICY,https://open.spotify.com/album/5Xb03XAF2LoaMqbM38H9eB,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,197898,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
LOCO,https://open.spotify.com/track/56Yxkm62GtEpnPyG7TvwLY,CRAZY IN LOVE,https://open.spotify.com/album/4U7rGOkJgtxs27H9L93Xli,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,191462,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
Maniac,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,Kid Krow,https://open.spotify.com/album/2CMlkzFI2oDAy5MbyV7OV5,Conan Gray,https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea,2023-02-22,185773,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
NOBODY LIKE YOU,https://open.spotify.com/track/4YUqGDMd1yJAa5i2ShysI6,IT'z ME,https://open.spotify.com/album/7ynKAohxfwPUZzvU8f1p1U,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,197124,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
Not Shy,https://open.spotify.com/track/1ehags7lQMM1qX94VJkoaf,Not Shy,https://open.spotify.com/album/5NN55LKbjzX16a7Uf8u7Os,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,177728,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
Red (Taylor's Version),https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-02-22,223093,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
SHOOT!,https://open.spotify.com/track/2xeaHUnzzT5Kc974OQt1kA,GUESS WHO,https://open.spotify.com/album/4lS8nhX8cplsYPzKjvhw6G,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,139213,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
SNEAKERS,https://open.spotify.com/track/2WoluqyWzsgRmFCeHeGlnm,CHECKMATE,https://open.spotify.com/album/64EGnoCD5NuC41OqQ3E7UK,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,179453,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
Sorry Not Sorry,https://open.spotify.com/track/4BV9bZOeH869aewS9lwTtM,GUESS WHO,https://open.spotify.com/album/4lS8nhX8cplsYPzKjvhw6G,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,189786,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
Trust Me (MIDZY),https://open.spotify.com/track/4ckfsMiX0wBKwaxIJCXxsJ,Trust Me (MIDZY),https://open.spotify.com/album/7EHXDcznIDHxNWTSPBf9Po,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,221638,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
Voltage,https://open.spotify.com/track/7e65OAe9L0xWPSHDiahjQe,Voltage,https://open.spotify.com/album/3MXVqfk9VG3B757nLlow0D,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,221360,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
WANNABE,https://open.spotify.com/track/4pspYVQGFHLPEFgQPD1J7e,IT'z ME,https://open.spotify.com/album/7ynKAohxfwPUZzvU8f1p1U,ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,2023-02-22,191242,2023-03-19,ITZY&#x27;s performance list of THE 1ST WORLD TOUR &lt;CHECKMATE&gt; in JAPAN,ITZY THE 1ST WORLD TOUR <CHECKMATE> in JAPAN
